AtomicNumber	IonCharge	ModelIndex	LowerLevel	UpperLevel	Temperature	CollisionStrength	Source
12	0	1	1	2	3000.0	1.16	999
12	0	1	1	2	4000.0	1.42	999
12	0	1	1	2	5000.0	1.65	999
12	0	1	1	2	6000.0	1.85	999
12	0	1	1	2	7000.0	2.03	999
12	0	1	1	2	8000.0	2.2	999
12	0	1	1	2	9000.0	2.36	999
12	0	1	1	2	10000.0	2.51	999
12	0	1	1	2	11000.0	2.64	999
12	0	1	1	2	12000.0	2.77	999
12	0	1	1	2	13000.0	2.89	999
12	0	1	1	2	14000.0	2.99	999
12	0	1	1	2	15000.0	3.09	999
12	0	1	1	2	16000.0	3.18	999
12	0	1	1	3	3000.0	2.12	999
12	0	1	1	3	4000.0	2.53	999
12	0	1	1	3	5000.0	2.84	999
12	0	1	1	3	6000.0	3.11	999
12	0	1	1	3	7000.0	3.36	999
12	0	1	1	3	8000.0	3.58	999
12	0	1	1	3	9000.0	3.78	999
12	0	1	1	3	10000.0	3.98	999
12	0	1	1	3	11000.0	4.17	999
12	0	1	1	3	12000.0	4.36	999
12	0	1	1	3	13000.0	4.54	999
12	0	1	1	3	14000.0	4.71	999
12	0	1	1	3	15000.0	4.89	999
12	0	1	1	3	16000.0	5.06	999
12	0	1	2	3	3000.0	7.03	999
12	0	1	2	3	4000.0	8.01	999
12	0	1	2	3	5000.0	8.67	999
12	0	1	2	3	6000.0	9.13	999
12	0	1	2	3	7000.0	9.47	999
12	0	1	2	3	8000.0	9.73	999
12	0	1	2	3	9000.0	9.93	999
12	0	1	2	3	10000.0	10.1	999
12	0	1	2	3	11000.0	10.2	999
12	0	1	2	3	12000.0	10.3	999
12	0	1	2	3	13000.0	10.4	999
12	0	1	2	3	14000.0	10.4	999
12	0	1	2	3	15000.0	10.4	999
12	0	1	2	3	16000.0	10.4	999
12	0	1	1	4	3000.0	0.633	999
12	0	1	1	4	4000.0	0.7240000000000001	999
12	0	1	1	4	5000.0	0.7859999999999999	999
12	0	1	1	4	6000.0	0.831	999
12	0	1	1	4	7000.0	0.865	999
12	0	1	1	4	8000.0	0.892	999
