AtomicNumber	IonCharge	ModelIndex	LevelNumber	SublevelNumber	2J	StatisticalWeight	ExcitationWaven	commentid
12	0	1	1	1	0	1	0	2
12	0	1	2	1	0	1	21850.405	2
12	0	1	2	2	2	3	21870.464	2
12	0	1	2	3	4	5	21911.178	2
12	0	1	3	1	2	3	35051.264	2
12	0	1	4	1	2	3	41197.403	2
12	0	1	5	1	0	1	43503.333	2
12	0	1	6	1	4	5	46403.065	2
12	0	1	7	1	0	1	47841.119	2
12	0	1	7	2	2	3	47844.414	2
12	0	1	7	3	4	5	47851.162	2
12	0	1	8	1	4	5	47957.027	2
12	0	1	8	2	6	7	47957.045	2
12	0	1	8	3	2	3	47957.058	2
12	0	1	9	1	2	3	49346.729	2
12	0	1	10	1	2	3	51872.526	2
12	0	1	11	1	0	1	52556.206	2
12	0	1	12	1	4	5	53134.642	2
12	0	1	13	1	6	7	54192.256	2
12	0	1	13	2	4	5	54192.294	2
12	0	1	13	3	2	3	54192.335	2
12	0	1	14	1	0	1	54248.809	2
12	0	1	14	2	2	3	54250.086	2
12	0	1	14	3	4	5	54252.726	2
12	0	1	15	1	6	7	54676.438	2
12	0	1	16	1	4	5	54676.654	2
12	0	1	16	2	6	7	54676.701	2
12	0	1	16	3	8	9	54676.755	2
12	0	1	17	1	2	3	54706.536	2
12	0	1	18	1	2	3	55891.8	2
12	0	1	19	1	0	1	56186.873	2
12	0	1	20	1	4	5	56308.381	2
12	0	1	21	1	6	7	56968.218	2
12	0	1	21	2	4	5	56968.248	2
12	0	1	21	3	2	3	56968.271	2
12	0	1	22	1	0	1	57017.078	2
12	0	1	22	2	2	3	57017.724	2
12	0	1	22	3	4	5	57019.025	2
12	0	1	23	1	6	7	57204.163	2
12	0	1	24	1	4	5	57204.228	2
12	0	1	24	2	6	7	57204.267	2
12	0	1	24	3	8	9	57204.305	2
12	0	1	25	1	2	3	57214.992	2
12	0	1	26	1	6	7	57262.76	2
12	0	1	26	2	8	9	57262.76	2
12	0	1	26	3	10	11	57262.76	3
12	0	1	27	1	8	9	57262.76	2
12	0	1	28	1	0	1	57812.77	2
12	0	1	28	2	2	3	57833.4	2
12	0	1	28	3	4	5	57873.94	2
12	0	1	29	1	2	3	57855.214	2
12	0	1	30	1	0	1	58009.41	2
12	0	1	31	1	4	5	58023.246	2
12	0	1	32	1	6	7	58442.843	2
12	0	1	32	2	4	5	58442.853	2
12	0	1	32	3	2	3	58442.874	2
12	0	1	33	1	0	1	58476.689	2
12	0	1	33	2	2	3	58477.02	2
12	0	1	33	3	4	5	58477.76	2
12	0	1	34	1	6	7	58575.477	2
12	0	1	35	1	6	7	58575.527	2
12	0	1	35	2	4	5	58575.527	2
12	0	1	35	3	8	9	58575.527	2
12	0	1	36	1	2	3	58580.23	2
12	0	1	37	1	10	11	58610.795	2
12	0	1	37	2	8	9	58610.795	2
12	0	1	37	3	6	7	58610.795	2
12	0	1	38	1	8	9	58610.795	2
12	0	1	39	1	8	9	58618.942	3
12	0	1	39	2	10	11	58618.942	3
12	0	1	39	3	12	13	58618.942	3
12	0	1	40	1	10	11	58618.942	3
12	0	1	41	1	2	3	58962.739	2
12	0	1	42	1	4	5	59041.019	2
12	0	1	43	1	0	1	59053.52	2
12	0	1	44	1	6	7	59318.764	2
12	0	1	44	2	4	5	59318.775	2
12	0	1	44	3	2	3	59318.793	2
12	0	1	45	1	0	1	59342.51	2
12	0	1	45	2	4	5	59342.51	2
12	0	1	45	3	2	3	59342.51	2
12	0	1	46	1	4	5	59400.763	2
12	0	1	46	2	8	9	59400.763	2
12	0	1	46	3	6	7	59400.763	2
12	0	1	47	1	6	7	59400.763	2
12	0	1	48	1	2	3	59403.18	2
12	0	1	49	1	8	9	59423.537	2
12	0	1	50	1	8	9	59423.537	2
12	0	1	50	2	6	7	59423.537	2
12	0	1	50	3	10	11	59423.537	2
12	0	1	51	1	8	9	59428.853	3
12	0	1	51	2	10	11	59428.853	3
12	0	1	51	3	12	13	59428.853	3
12	0	1	52	1	10	11	59428.853	3
12	0	1	53	1	10	11	59430.517	3
12	0	1	53	2	12	13	59430.517	3
12	0	1	53	3	14	15	59430.517	3
12	0	1	54	1	12	13	59430.517	3
12	0	1	55	1	2	3	59649.15	2
12	0	1	56	1	4	5	59689.991	2
12	0	1	57	1	0	1	59707.11	2
12	0	1	58	1	6	7	59881.168	2
12	0	1	58	2	4	5	59881.181	2
12	0	1	58	3	2	3	59881.196	2
12	0	1	59	1	0	1	59897.86	2
12	0	1	59	2	4	5	59897.86	2
12	0	1	59	3	2	3	59897.86	2
12	0	1	60	1	6	7	59935.37	2
12	0	1	61	1	6	7	59935.37	2
12	0	1	61	2	4	5	59935.37	2
12	0	1	61	3	8	9	59935.37	2
12	0	1	62	1	2	3	59936.63	2
12	0	1	63	1	8	9	59950.87	2
12	0	1	64	1	10	11	59950.87	2
12	0	1	64	2	8	9	59950.87	2
12	0	1	64	3	6	7	59950.87	3
12	0	1	65	1	8	9	59954.523	3
12	0	1	65	2	10	11	59954.523	3
12	0	1	65	3	12	13	59954.523	3
12	0	1	66	1	10	11	59954.523	3
12	0	1	67	1	2	3	60104	2
12	0	1	68	1	4	5	60127.239	2
12	0	1	69	1	0	1	60143.23	2
12	0	1	70	1	4	5	60263.583	2
12	0	1	70	2	2	3	60263.583	2
