AtomicNumber	IonCharge	ModelIndex	LowerLevel	UpperLevel	Temperature	CollisionStrength	Source
12	0	1	1	2	3000.0	2.2604248125472557	999
12	0	1	1	2	4000.0	2.7371130232594854	999
12	0	1	1	2	5000.0	3.129383915693866	999
12	0	1	1	2	6000.0	3.4556251773079407	999
12	0	1	1	2	7000.0	3.7293372332670423	999
12	0	1	1	2	8000.0	3.960674519237795	999
12	0	1	1	2	9000.0	4.157407824734545	999
12	0	1	1	2	10000.0	4.3255660977839065	999
12	0	1	1	2	11000.0	4.469883933361744	999
12	0	1	1	2	12000.0	4.59412194664308	999
12	0	1	1	2	13000.0	4.701299862437696	999
12	0	1	1	2	14000.0	4.7938680207161575	999
12	0	1	1	2	15000.0	4.8738347574695915	999
12	0	1	1	2	16000.0	4.942861851954123	999
12	0	1	1	3	3000.0	2.9265307570399006	999
12	0	1	1	3	4000.0	3.209754168336647	999
12	0	1	1	3	5000.0	3.444472994493554	999
12	0	1	1	3	6000.0	3.6520541626133736	999
12	0	1	1	3	7000.0	3.8431811568653984	999
12	0	1	1	3	8000.0	4.023820131851509	999
12	0	1	1	3	9000.0	4.197532535502157	999
12	0	1	1	3	10000.0	4.366537318427518	999
12	0	1	1	3	11000.0	4.532257850278235	999
12	0	1	1	3	12000.0	4.69562599893073	999
12	0	1	1	3	13000.0	4.857260463818159	999
12	0	1	1	3	14000.0	5.01757554043938	999
12	0	1	1	3	15000.0	5.176849504258462	999
12	0	1	1	3	16000.0	5.335268684536509	999
12	0	1	2	3	3000.0	12.812863396098779	999
12	0	1	2	3	4000.0	14.151046664192966	999
12	0	1	2	3	5000.0	15.048332896104998	999
12	0	1	2	3	6000.0	15.653072224614435	999
12	0	1	2	3	7000.0	16.054872638925897	999
12	0	1	2	3	8000.0	16.31157410105413	999
12	0	1	2	3	9000.0	16.462242269634963	999
12	0	1	2	3	10000.0	16.534161795427753	999
12	0	1	2	3	11000.0	16.546892307455582	999
12	0	1	2	3	12000.0	16.514752474157856	999
12	0	1	2	3	13000.0	16.44840646198997	999
12	0	1	2	3	14000.0	16.35591171433104	999
12	0	1	2	3	15000.0	16.243430379499827	999
12	0	1	2	3	16000.0	16.115723769735013	999
12	0	1	1	4	3000.0	1.0130015321833958	999
12	0	1	1	4	4000.0	1.1041662571131416	999
12	0	1	1	4	5000.0	1.1699833159368744	999
12	0	1	1	4	6000.0	1.2185778326279872	999
12	0	1	1	4	7000.0	1.2545599453956133	999
12	0	1	1	4	8000.0	1.2809167160761281	999
12	0	1	1	4	9000.0	1.2997479688732225	999
12	0	1	1	4	10000.0	1.3126067751461483	999
12	0	1	1	4	11000.0	1.3206797739824476	999
12	0	1	1	4	12000.0	1.3248934080373904	999
12	0	1	1	4	13000.0	1.3259818857842396	999
12	0	1	1	4	14000.0	1.3245334305819048	999
12	0	1	1	4	15000.0	1.3210232137688156	999
12	0	1	1	4	16000.0	1.3158375923107217	999
12	0	1	2	4	3000.0	11.37327836319839	999
12	0	1	2	4	4000.0	12.582264269275303	999
12	0	1	2	4	5000.0	13.571771195041626	999
12	0	1	2	4	6000.0	14.417057212670416	999
12	0	1	2	4	7000.0	15.156875904679627	999
12	0	1	2	4	8000.0	15.814480493958502	999
12	0	1	2	4	9000.0	16.405462422907263	999
12	0	1	2	4	10000.0	16.941155674092297	999
12	0	1	2	4	11000.0	17.430284825335782	999
12	0	1	2	4	12000.0	17.87983275493575	999
12	0	1	2	4	13000.0	18.295531886053897	999
12	0	1	2	4	14000.0	18.68216265236028	999
12	0	1	2	4	15000.0	19.043748529742977	999
12	0	1	2	4	16000.0	19.38369309105898	999
12	0	1	3	4	3000.0	2.195545024296415	999
12	0	1	3	4	4000.0	2.5393223510435377	999
12	0	1	3	4	5000.0	2.815629578286783	999
12	0	1	3	4	6000.0	3.041046620754096	999
12	0	1	3	4	7000.0	3.2261627882307113	999
12	0	1	3	4	8000.0	3.3783569478924718	999
12	0	1	3	4	9000.0	3.5031157541291766	999
12	0	1	3	4	10000.0	3.6047253781161275	999
12	0	1	3	4	11000.0	3.6866548950431826	999
12	0	1	3	4	12000.0	3.7517795409632857	999
12	0	1	3	4	13000.0	3.802518643124066	999
12	0	1	3	4	14000.0	3.840926906840209	999
12	0	1	3	4	15000.0	3.868759218717595	999
12	0	1	3	4	16000.0	3.8875195608528905	999
12	0	1	1	5	3000.0	0.6242749702035013	999
12	0	1	1	5	4000.0	0.6606925374637215	999
12	0	1	1	5	5000.0	0.685127615244688	999
12	0	1	1	5	6000.0	0.7029854919448872	999
12	0	1	1	5	7000.0	0.7170069622232441	999
12	0	1	1	5	8000.0	0.7287375359866124	999
12	0	1	1	5	9000.0	0.7391012922515825	999
12	0	1	1	5	10000.0	0.7486688877010736	999
12	0	1	1	5	11000.0	0.7577985950367336	999
12	0	1	1	5	12000.0	0.7667164935659759	999
12	0	1	1	5	13000.0	0.7755644342160327	999
12	0	1	1	5	14000.0	0.7844297409014271	999
12	0	1	1	5	15000.0	0.7933640687057523	999
12	0	1	1	5	16000.0	0.8023956075117216	999
12	0	1	2	5	3000.0	2.9241921227952257	999
12	0	1	2	5	4000.0	3.3242111280258215	999
12	0	1	2	5	5000.0	3.617399801500809	999
12	0	1	2	5	6000.0	3.833144062455324	999
12	0	1	2	5	7000.0	3.9908721821964663	999
12	0	1	2	5	8000.0	4.104213167976733	999
12	0	1	2	5	9000.0	4.183102238193671	999
12	0	1	2	5	10000.0	4.234980867859051	999
12	0	1	2	5	11000.0	4.265534894603624	999
12	0	1	2	5	12000.0	4.279174552831574	999
12	0	1	2	5	13000.0	4.279360583292963	999
12	0	1	2	5	14000.0	4.268833600933422	999
12	0	1	2	5	15000.0	4.249779944590281	999
12	0	1	2	5	16000.0	4.223954268135026	999
12	0	1	3	5	3000.0	78.84494045061506	999
12	0	1	3	5	4000.0	81.02586246906893	999
12	0	1	3	5	5000.0	81.54706478232717	999
12	0	1	3	5	6000.0	81.24153170210364	999
12	0	1	3	5	7000.0	80.52210426895358	999
12	0	1	3	5	8000.0	79.61019890303609	999
12	0	1	3	5	9000.0	78.62942074969025	999
12	0	1	3	5	10000.0	77.64981267308565	999
12	0	1	3	5	11000.0	76.71078290985625	999
12	0	1	3	5	12000.0	75.83372450846443	999
12	0	1	3	5	13000.0	75.02925511188276	999
12	0	1	3	5	14000.0	74.30149607090965	999
12	0	1	3	5	15000.0	73.65065847956946	999
12	0	1	3	5	16000.0	73.07463255048067	999
12	0	1	4	5	3000.0	2.070821267620005	999
12	0	1	4	5	4000.0	2.3800135370852993	999
12	0	1	4	5	5000.0	2.620375434683821	999
12	0	1	4	5	6000.0	2.8115499514690874	999
12	0	1	4	5	7000.0	2.965644221754815	999
12	0	1	4	5	8000.0	3.090644644556757	999
12	0	1	4	5	9000.0	3.192142875259976	999
12	0	1	4	5	10000.0	3.2742651913235377	999
12	0	1	4	5	11000.0	3.340191484007505	999
12	0	1	4	5	12000.0	3.3924551600812696	999
12	0	1	4	5	13000.0	3.433123703266411	999
12	0	1	4	5	14000.0	3.4639128780631454	999
12	0	1	4	5	15000.0	3.4862630029109134	999
12	0	1	4	5	16000.0	3.501392722906096	999
12	0	1	1	6	3000.0	3.3092808792611264	999
12	0	1	1	6	4000.0	3.396460989524986	999
12	0	1	1	6	5000.0	3.411148524503416	999
12	0	1	1	6	6000.0	3.3869649497586862	999
12	0	1	1	6	7000.0	3.3414150620535144	999
12	0	1	1	6	8000.0	3.2845344663001113	999
12	0	1	1	6	9000.0	3.2223513983428833	999
12	0	1	1	6	10000.0	3.1585582165141513	999
12	0	1	1	6	11000.0	3.095420476983946	999
12	0	1	1	6	12000.0	3.034308211830301	999
12	0	1	1	6	13000.0	2.976020375966304	999
12	0	1	1	6	14000.0	2.920988687983493	999
12	0	1	1	6	15000.0	2.8694082174827087	999
12	0	1	1	6	16000.0	2.8213222200369272	999
12	0	1	2	6	3000.0	18.351923346538896	999
12	0	1	2	6	4000.0	20.20787375948422	999
12	0	1	2	6	5000.0	21.516042807268317	999
12	0	1	2	6	6000.0	22.447023073745253	999
12	0	1	2	6	7000.0	23.104202095941353	999
12	0	1	2	6	8000.0	23.55644313368028	999
12	0	1	2	6	9000.0	23.852292889663048	999
12	0	1	2	6	10000.0	24.02725590259138	999
12	0	1	2	6	11000.0	24.107962597715094	999
12	0	1	2	6	12000.0	24.114755785482398	999
12	0	1	2	6	13000.0	24.06339114571895	999
12	0	1	2	6	14000.0	23.966203867312004	999
12	0	1	2	6	15000.0	23.832935119844425	999
12	0	1	2	6	16000.0	23.671332165227632	999
12	0	1	3	6	3000.0	87.55890250754385	999
12	0	1	3	6	4000.0	90.69037734393093	999
12	0	1	3	6	5000.0	92.11629890689775	999
12	0	1	3	6	6000.0	92.65305456955676	999
12	0	1	3	6	7000.0	92.69948104048727	999
12	0	1	3	6	8000.0	92.47112052464999	999
12	0	1	3	6	9000.0	92.0919085853355	999
12	0	1	3	6	10000.0	91.63602681056935	999
12	0	1	3	6	11000.0	91.14906238636358	999
12	0	1	3	6	12000.0	90.65947417733805	999
12	0	1	3	6	13000.0	90.18512009436091	999
12	0	1	3	6	14000.0	89.73711559448948	999
12	0	1	3	6	15000.0	89.32218711650407	999
12	0	1	3	6	16000.0	88.94414843723493	999
12	0	1	4	6	3000.0	11.324598098036851	999
12	0	1	4	6	4000.0	13.52707927031481	999
12	0	1	4	6	5000.0	15.03308935836196	999
12	0	1	4	6	6000.0	16.045057705804687	999
12	0	1	4	6	7000.0	16.706266030044176	999
12	0	1	4	6	8000.0	17.11635339543121	999
12	0	1	4	6	9000.0	17.344975952166365	999
12	0	1	4	6	10000.0	17.44141559098678	999
12	0	1	4	6	11000.0	17.44100944394288	999
12	0	1	4	6	12000.0	17.369425058505797	999
12	0	1	4	6	13000.0	17.24552670056029	999
12	0	1	4	6	14000.0	17.083322967046904	999
12	0	1	4	6	15000.0	16.893309950962855	999
12	0	1	4	6	16000.0	16.6834113435255	999
12	0	1	5	6	3000.0	11.745742546009877	999
12	0	1	5	6	4000.0	13.104759603862002	999
12	0	1	5	6	5000.0	14.16565635742107	999
12	0	1	5	6	6000.0	15.029376776896312	999
12	0	1	5	6	7000.0	15.75276215113287	999
12	0	1	5	6	8000.0	16.371136334960582	999
12	0	1	5	6	9000.0	16.90803280306079	999
12	0	1	5	6	10000.0	17.379979023112515	999
12	0	1	5	6	11000.0	17.799072443722906	999
12	0	1	5	6	12000.0	18.17446327704063	999
12	0	1	5	6	13000.0	18.513254913264646	999
12	0	1	5	6	14000.0	18.821076326756668	999
12	0	1	5	6	15000.0	19.102461172072996	999
12	0	1	5	6	16000.0	19.361108354868115	999
12	0	1	1	7	3000.0	2.2205269601490114	999
12	0	1	1	7	4000.0	2.2595080499768634	999
12	0	1	1	7	5000.0	2.2611525483535364	999
12	0	1	1	7	6000.0	2.244485959963429	999
12	0	1	1	7	7000.0	2.2181532929886605	999
12	0	1	1	7	8000.0	2.18657647133715	999
12	0	1	1	7	9000.0	2.152206613022514	999
12	0	1	1	7	10000.0	2.116480725352711	999
12	0	1	1	7	11000.0	2.0802746001240497	999
12	0	1	1	7	12000.0	2.0441356190938342	999
12	0	1	1	7	13000.0	2.0084104276095496	999
12	0	1	1	7	14000.0	1.9733186982488602	999
12	0	1	1	7	15000.0	1.9389976059042604	999
12	0	1	1	7	16000.0	1.905529608291447	999
12	0	1	2	7	3000.0	17.68528698954961	999
12	0	1	2	7	4000.0	19.03131571027726	999
12	0	1	2	7	5000.0	20.018875915620736	999
12	0	1	2	7	6000.0	20.777703875316345	999
12	0	1	2	7	7000.0	21.373174844211658	999
12	0	1	2	7	8000.0	21.84385281728436	999
12	0	1	2	7	9000.0	22.215303876857956	999
12	0	1	2	7	10000.0	22.505971143023658	999
12	0	1	2	7	11000.0	22.729955687252446	999
12	0	1	2	7	12000.0	22.89845811550226	999
12	0	1	2	7	13000.0	23.020593440954386	999
12	0	1	2	7	14000.0	23.10389264426105	999
12	0	1	2	7	15000.0	23.154637072467374	999
12	0	1	2	7	16000.0	23.178097226547084	999
12	0	1	3	7	3000.0	11.466020113232053	999
12	0	1	3	7	4000.0	12.662949293585507	999
12	0	1	3	7	5000.0	13.440045533758472	999
12	0	1	3	7	6000.0	13.940154590707015	999
12	0	1	3	7	7000.0	14.249948430158133	999
12	0	1	3	7	8000.0	14.425216252054957	999
12	0	1	3	7	9000.0	14.503446285902337	999
12	0	1	3	7	10000.0	14.510680491265825	999
12	0	1	3	7	11000.0	14.465492549994027	999
