K	Conf	Term	2S+1	L	P	2J	CF	AS (Ryd)	NIST (Ryd)	Energy
1	3s2	1S	1	0	0	0	1	0.000000	0.000000	0.000000
2	3s.3p	3P*	3	1	1	0	2	0.198965	0.199116	0.199116
3	3s.3p	3P*	3	1	1	2	2	0.199146	0.199298	0.199298
4	3s.3p	3P*	3	1	1	4	2	0.199512	0.199669	0.199669
5	3s.3p	1P*	1	1	1	2	2	0.321393	0.319411	0.319411
6	3s.4s	3S	3	0	0	2	4	0.375193	0.375418	0.375418
7	3s.4s	1S	1	0	0	0	4	0.396561	0.396432	0.396432
8	3s.3d	1D	1	2	0	4	3	0.419545	0.422856	0.422856
9	3s.4p	3P*	3	1	1	0	5	0.435899	0.435960	0.435960
10	3s.4p	3P*	3	1	1	2	5	0.435930	0.435990	0.435990
11	3s.4p	3P*	3	1	1	4	5	0.435995	0.436052	0.436052
12	3s.3d	3D	3	2	0	4	3	0.436919	0.437017	0.437017
13	3s.3d	3D	3	2	0	2	3	0.436919	0.437017	0.437017
14	3s.3d	3D	3	2	0	6	3	0.436919	0.437017	0.437017
15	3s.4p	1P*	1	1	1	2	5	0.449124	0.449680	0.449680
16	3s.5s	3S	3	0	0	2	8	0.472701	0.472697	0.472697
17	3s.5s	1S	1	0	0	0	8	0.478845	0.478927	0.478927
18	3s.4d	1D	1	2	0	4	6	0.482878	0.484198	0.484198
19	3s.4d	3D	3	2	0	6	6	0.493809	0.493836	0.493836
20	3s.4d	3D	3	2	0	4	6	0.493809	0.493837	0.493837
21	3s.4d	3D	3	2	0	2	6	0.493809	0.493837	0.493837
22	3s.5p	3P*	3	1	1	0	9	0.494269	0.494352	0.494352
23	3s.5p	3P*	3	1	1	2	9	0.494280	0.494363	0.494363
24	3s.5p	3P*	3	1	1	4	9	0.494305	0.494387	0.494387
25	3s.5p	1P*	1	1	1	2	9	0.498007	0.498523	0.498523
26	3s.4f	1F*	1	3	1	6	7	0.498167	0.498248	0.498248
27	3s.4f	3F*	3	3	1	4	7	0.498174	0.498250	0.498250
28	3s.4f	3F*	3	3	1	6	7	0.498174	0.498251	0.498251
29	3s.4f	3F*	3	3	1	8	7	0.498175	0.498251	0.498251
30	3s.6s	3S	3	0	0	2	14	0.509300	0.509324	0.509324
31	3s.6s	1S	1	0	0	0	14	0.511817	0.512012	0.512012
32	3s.5d	1D	1	2	0	4	10	0.512475	0.513120	0.513120
33	3s.5d	3D	3	2	0	6	10	0.519096	0.519133	0.519133
34	3s.5d	3D	3	2	0	4	10	0.519097	0.519133	0.519133
35	3s.5d	3D	3	2	0	2	10	0.519097	0.519133	0.519133
36	3s.6p	3P*	3	1	1	0	15	0.519472	0.519578	0.519578
37	3s.6p	3P*	3	1	1	2	15	0.519478	0.519584	0.519584
38	3s.6p	3P*	3	1	1	4	15	0.519490	0.519596	0.519596
39	3s.6p	1P*	1	1	1	2	15	0.521030	0.521381	0.521381
40	3s.5f	1F*	1	3	1	6	11	0.521226	0.521283	0.521283
41	3s.5f	3F*	3	3	1	4	11	0.521229	0.521283	0.521283
42	3s.5f	3F*	3	3	1	6	11	0.521229	0.521284	0.521284
43	3s.5f	3F*	3	3	1	8	11	0.521230	0.521284	0.521284
44	3s.5g	1G	1	4	0	8	12	0.521791	0.521817	0.521817
45	3s.5g	3G	3	4	0	6	12	0.521791	0.521817	0.521817
46	3s.5g	3G	3	4	0	10	12	0.521791	0.521817	0.521817
47	3s.5g	3G	3	4	0	8	12	0.521791	0.521817	0.521817
48	3p2	3P	3	1	0	0	13	0.526291	0.526829	0.526829
49	3p2	3P	3	1	0	2	13	0.526476	0.527017	0.527017
50	3s.10p	3P*	3	1	1	0	42	0.526547	-1.000000	0.526547
51	3s.10p	3P*	3	1	1	2	42	0.526548	-1.000000	0.526548
52	3s.10p	3P*	3	1	1	4	42	0.526551	-1.000000	0.526551
53	3p2	3P	3	1	0	4	13	0.526840	0.527386	0.527386
54	3s.7s	3S	3	0	0	2	20	0.527181	0.527215	0.527215
55	3s.7s	1S	1	0	0	0	20	0.527592	0.528621	0.528621
56	3s.6d	1D	1	2	0	4	16	0.528292	0.528747	0.528747
57	3s.11s	1S	1	0	0	0	45	0.528775	-1.000000	0.528775
58	3s.11p	3P*	3	1	1	0	46	0.528959	-1.000000	0.528959
59	3s.11p	3P*	3	1	1	2	46	0.528960	-1.000000	0.528960
60	3s.11p	3P*	3	1	1	4	46	0.528962	-1.000000	0.528962
61	3s.12s	1S	1	0	0	0	49	0.530398	-1.000000	0.530398
