I	Conf	Term	2S+1	L	P	CF	AS (Ryd)	NIST (Ryd)	Energy
1	3s2	1S	1	0	0	1	0.000000	0.000000	0.000000
2	3s.3p	3P*	3	1	1	2	0.199329	0.199484	0.199484
3	3s.3p	1P*	1	1	1	2	0.321393	0.319411	0.319411
4	3s.4s	3S	3	0	0	4	0.375193	0.375418	0.375418
5	3s.4s	1S	1	0	0	4	0.396561	0.396432	0.396432
6	3s.3d	1D	1	2	0	3	0.419545	0.422856	0.422856
7	3s.4p	3P*	3	1	1	5	0.435963	0.436021	0.436021
8	3s.3d	3D	3	2	0	3	0.436919	0.437017	0.437017
9	3s.4p	1P*	1	1	1	5	0.449124	0.449680	0.449680
10	3s.5s	3S	3	0	0	8	0.472701	0.472697	0.472697
11	3s.5s	1S	1	0	0	8	0.478845	0.478927	0.478927
12	3s.4d	1D	1	2	0	6	0.482878	0.484198	0.484198
13	3s.4d	3D	3	2	0	6	0.493809	0.493836	0.493836
14	3s.5p	3P*	3	1	1	9	0.494293	0.494375	0.494375
15	3s.5p	1P*	1	1	1	9	0.498007	0.498523	0.498523
16	3s.4f	1F*	1	3	1	7	0.498167	0.498248	0.498248
17	3s.4f	3F*	3	3	1	7	0.498175	0.498251	0.498251
18	3s.6s	3S	3	0	0	14	0.509300	0.509324	0.509324
19	3s.6s	1S	1	0	0	14	0.511817	0.512012	0.512012
20	3s.5d	1D	1	2	0	10	0.512475	0.513120	0.513120
21	3s.5d	3D	3	2	0	10	0.519096	0.519133	0.519133
22	3s.6p	3P*	3	1	1	15	0.519484	0.519590	0.519590
23	3s.6p	1P*	1	1	1	15	0.521030	0.521381	0.521381
24	3s.5f	1F*	1	3	1	11	0.521226	0.521283	0.521283
25	3s.5f	3F*	3	3	1	11	0.521229	0.521284	0.521284
26	3s.5g	1G	1	4	0	12	0.521791	0.521817	0.521817
27	3s.5g	3G	3	4	0	12	0.521791	0.521817	0.521817
28	3s.10p	3P*	3	1	1	42	0.526550	0.498251	0.498251
29	3p2	3P	3	1	0	13	0.526658	0.527201	0.527201
30	3s.7s	3S	3	0	0	20	0.527181	0.527215	0.527215
31	3s.7s	1S	1	0	0	20	0.527592	0.528621	0.528621
32	3s.6d	1D	1	2	0	16	0.528292	0.528747	0.528747
33	3s.11s	1S	1	0	0	45	0.528775	0.519133	0.519133
34	3s.11p	3P*	3	1	1	46	0.528961	0.519133	0.519133
35	3s.12s	1S	1	0	0	49	0.530398	0.519133	0.519133
36	3s.12p	3P*	3	1	1	50	0.530735	0.519578	0.519578
37	3s.13s	1S	1	0	0	53	0.531797	0.519584	0.519584
38	3s.13p	3P*	3	1	1	54	0.532061	0.519596	0.519596
39	3s.6d	3D	3	2	0	16	0.532494	0.532570	0.532570
40	3s.7p	3P*	3	1	1	21	0.532862	0.532885	0.532885
41	3s.14s	1S	1	0	0	57	0.532901	0.521283	0.521283
42	3s.14p	3P*	3	1	1	58	0.533272	0.521284	0.521284
43	3s.7p	1P*	1	1	1	21	0.533580	0.533822	0.533822
44	3s.15s	3S	3	0	0	61	0.533594	0.521817	0.521817
45	3s.6f	1F*	1	3	1	17	0.533738	0.533779	0.533779
46	3s.6f	3F*	3	3	1	17	0.533740	0.533779	0.533779
47	3s.15s	1S	1	0	0	61	0.533776	0.521817	0.521817
48	3s.15p	3P*	3	1	1	62	0.534024	0.526829	0.526829
49	3s.6g	1G	1	4	0	18	0.534079	0.534101	0.534101
50	3s.6g	3G	3	4	0	18	0.534079	0.534101	0.534101
51	3s.6h	1H*	1	5	1	19	0.534157	0.534175	0.534175
52	3s.6h	3H*	3	5	1	19	0.534157	0.534175	0.534175
53	3s.16s	3S	3	0	0	65	0.534342	0.527386	0.527386
54	3s.16s	1S	1	0	0	65	0.534479	0.527215	0.527215
55	3s.15d	3D	3	2	0	63	0.534661	0.528621	0.528621
56	3s.16p	3P*	3	1	1	66	0.534681	0.528747	0.528747
57	3s.17s	3S	3	0	0	68	0.534947	-1.000000	0.534947
58	3s.17s	1S	1	0	0	68	0.535053	-1.000000	0.535053
59	3s.16d	3D	3	2	0	67	0.535208	-1.000000	0.535208
60	3s.17p	3P*	3	1	1	69	0.535223	-1.000000	0.535223
61	3s.18s	3S	3	0	0	71	0.535445	-1.000000	0.535445
62	3s.18s	1S	1	0	0	71	0.535526	-1.000000	0.535526
63	3s.17d	3D	3	2	0	70	0.535661	-1.000000	0.535661
64	3s.18p	3P*	3	1	1	72	0.535674	-1.000000	0.535674
65	3s.19s	3S	3	0	0	74	0.535860	-1.000000	0.535860
66	3s.19s	1S	1	0	0	74	0.535921	-1.000000	0.535921
67	3s.18d	3D	3	2	0	73	0.536041	-1.000000	0.536041
68	3s.19p	3P*	3	1	1	75	0.536052	-1.000000	0.536052
69	3s.20s	3S	3	0	0	77	0.536209	0.532570	0.532570
70	3s.20s	1S	1	0	0	77	0.536254	0.532570	0.532570
71	3s.19d	3D	3	2	0	76	0.536363	0.532571	0.532571
72	3s.20p	3P*	3	1	1	78	0.536372	0.532879	0.532879
73	3s.20d	3D	3	2	0	79	0.536638	0.532882	0.532882
74	3s.8s	3S	3	0	0	27	0.537329	0.537308	0.537308
75	3s.7d	1D	1	2	0	22	0.537710	0.538021	0.538021
76	3s.8s	1S	1	0	0	27	0.538640	0.538135	0.538135
77	3s.7d	3D	3	2	0	22	0.540556	0.540552	0.540552
78	3s.8p	3P*	3	1	1	28	0.540802	0.540769	0.540769
79	3s.8p	1P*	1	1	1	28	0.541145	0.541322	0.541322
80	3s.7f	1F*	1	3	1	23	0.541267	0.541300	0.541300
81	3s.7f	3F*	3	3	1	23	0.541268	0.541300	0.541300
82	3s.7g	1G	1	4	0	24	0.541487	0.541507	0.541507
83	3s.7g	3G	3	4	0	24	0.541487	0.541507	0.541507
84	3s.7h	1H*	1	5	1	25	0.541538	0.541556	0.541556
85	3s.7h	3H*	3	5	1	25	0.541538	0.541556	0.541556
86	3s.7i	1I	1	6	0	26	0.541553	0.541571	0.541571
87	3s.7i	3I	3	6	0	26	0.541553	0.541571	0.541571
88	3s.9s	3S	3	0	0	33	0.543554	0.543563	0.543563
89	3s.8d	1D	1	2	0	29	0.543720	0.543935	0.543935
90	3s.9s	1S	1	0	0	33	0.544344	0.544091	0.544091
91	3s.8d	3D	3	2	0	29	0.545668	0.545677	0.545677
92	3s.9p	3P*	3	1	1	34	0.545848	0.545829	0.545829
93	3s.9p	1P*	1	1	1	34	0.546048	0.546183	0.546183
94	3s.8f	1F*	1	3	1	30	0.546143	0.546171	0.546171
95	3s.8f	3F*	3	3	1	30	0.546144	0.546171	0.546171
96	3s.8g	1G	1	4	0	31	0.546293	0.546312	0.546312
97	3s.8g	3G	3	4	0	31	0.546293	0.546312	0.546312
98	3s.8h	1H*	1	5	1	32	0.546328	0.546346	0.546346
99	3s.8h	3H*	3	5	1	32	0.546328	0.546346	0.546346
100	3s.10s	3S	3	0	0	41	0.547695	0.547708	0.547708
101	3s.9d	1D	1	2	0	35	0.547768	0.547920	0.547920
102	3s.10s	1S	1	0	0	41	0.548467	0.548065	0.548065
103	3s.9d	3D	3	2	0	35	0.549150	0.549162	0.549162
104	3s.10p	1P*	1	1	1	42	0.549407	0.549515	0.549515
105	3s.9f	1F*	1	3	1	36	0.549481	0.549506	0.549506
106	3s.9f	3F*	3	3	1	36	0.549481	0.549506	0.549506
107	3s.9g	1G	1	4	0	37	0.549587	0.549606	0.549606
108	3s.9g	3G	3	4	0	37	0.549587	0.549606	0.549606
109	3s.9h	1H*	1	5	1	38	0.549612	0.549630	0.549630
110	3s.9h	3H*	3	5	1	38	0.549612	0.549630	0.549630
111	3s.9i	1I	1	6	0	39	0.549619	0.549637	0.549637
112	3s.9i	3I	3	6	0	39	0.549619	0.549637	0.549637
113	3s.9k	1K*	1	7	1	40	0.549622	0.549640	0.549640
114	3s.9k	3K*	3	7	1	40	0.549622	0.549640	0.549640
115	3s.11s	3S	3	0	0	45	0.550582	0.550596	0.550596
116	3s.10d	1D	1	2	0	43	0.550614	0.550725	0.550725
117	3s.10d	3D	3	2	0	43	0.551625	0.551639	0.551639
118	3s.11p	1P*	1	1	1	46	0.551805	0.551894	0.551894
119	3s.10f	1F*	1	3	1	44	0.551864	0.551887	0.551887
120	3s.10f	3F*	3	3	1	44	0.551865	0.551887	0.551887
121	3s.12s	3S	3	0	0	49	0.552674	0.552688	0.552688
122	3s.11d	1D	1	2	0	47	0.552688	0.552772	0.552772
123	3s.11d	3D	3	2	0	47	0.553448	0.553461	0.553461
124	3s.12p	1P*	1	1	1	50	0.553575	0.553651	0.553651
125	3s.11f	1F*	1	3	1	48	0.553626	0.553647	0.553647
126	3s.11f	3F*	3	3	1	48	0.553626	0.553647	0.553647
127	3s.13s	3S	3	0	0	53	0.554239	0.554252	0.554252
128	3s.12d	1D	1	2	0	51	0.554243	0.554309	0.554309
129	3s.12d	3D	3	2	0	51	0.554828	0.554842	0.554842
130	3s.13p	1P*	1	1	1	54	0.554922	0.554988	0.554988
131	3s.12f	1F*	1	3	1	52	0.554964	0.554984	0.554984
132	3s.12f	3F*	3	3	1	52	0.554964	0.554984	0.554984
133	3s.13d	1D	1	2	0	55	0.555440	0.555493	0.555493
134	3s.14s	3S	3	0	0	57	0.555440	0.555453	0.555453
135	3s.13d	3D	3	2	0	55	0.555899	0.555912	0.555912
136	3s.14p	1P*	1	1	1	58	0.555968	0.556027	0.556027
137	3s.13f	1F*	1	3	1	56	0.556004	0.556024	0.556024
138	3s.13f	3F*	3	3	1	56	0.556004	0.556024	0.556024
139	3s.14d	1D	1	2	0	59	0.556380	0.556424	0.556424
140	3s.14d	3D	3	2	0	59	0.556747	0.556759	0.556759
141	3s.15p	1P*	1	1	1	62	0.556797	0.556851	0.556851
142	3s.14f	1F*	1	3	1	60	0.556829	0.556848	0.556848
143	3s.14f	3F*	3	3	1	60	0.556829	0.556848	0.556848
144	3s.15d	1D	1	2	0	63	0.557130	0.557168	0.557168
145	3s.16p	1P*	1	1	1	66	0.557464	0.557515	0.557515
146	3s.15f	1F*	1	3	1	64	0.557494	0.557513	0.557513
147	3s.15f	3F*	3	3	1	64	0.557494	0.557513	0.557513
148	3s.16d	1D	1	2	0	67	0.557737	0.557770	0.557770
149	3s.17p	1P*	1	1	1	69	0.558010	0.558058	0.558058
150	3s.17d	1D	1	2	0	70	0.558239	0.558269	0.558269
151	3s.18p	1P*	1	1	1	72	0.558459	0.558508	0.558508
152	3s.18d	1D	1	2	0	73	0.558656	0.558683	0.558683
153	3s.19p	1P*	1	1	1	75	0.558829	0.558885	0.558885
154	3s.19d	1D	1	2	0	76	0.559007	0.559032	0.559032
155	3s.20p	1P*	1	1	1	78	0.559121	0.559204	0.559204
156	3s.20d	1D	1	2	0	79	0.559305	0.559328	0.559328
157	3p2	1D	1	2	0	13	0.618538	0.541507	0.541507
158	3p2	1S	1	0	0	13	0.665508	0.541556	0.541556
