--------------------
i      CFG          
--------------------
1     3s2
2     3s.3p
3     3s.3d
4     3s.4s
5     3s.4p
6     3s.4d
7     3s.4f
8     3s.5s
9     3s.5p
10    3s.5d
11    3s.5f
12    3s.5g
13    3p2
14    3s.6s
15    3s.6p
16    3s.6d
17    3s.6f
18    3s.6g
19    3s.6h
20    3s.7s
21    3s.7p
22    3s.7d
23    3s.7f
24    3s.7g
25    3s.7h
26    3s.7i
27    3s.8s
28    3s.8p
29    3s.8d
30    3s.8f
31    3s.8g
32    3s.8h
33    3s.9s
34    3s.9p
35    3s.9d
36    3s.9f
37    3s.9g
38    3s.9h
39    3s.9i
40    3s.9k
41    3s.10s
42    3s.10p
43    3s.10d
44    3s.10f
45    3s.11s
46    3s.11p
47    3s.11d
48    3s.11f
49    3s.12s
50    3s.12p
51    3s.12d
52    3s.12f
53    3s.13s
54    3s.13p
55    3s.13d
56    3s.13f
57    3s.14s
58    3s.14p
59    3s.14d
60    3s.14f
61    3s.15s
62    3s.15p
63    3s.15d
64    3s.15f
65    3s.16s
66    3s.16p
67    3s.16d
68    3s.17s
69    3s.17p
70    3s.17d
71    3s.18s
72    3s.18p
73    3s.18d
74    3s.19s
75    3s.19p
76    3s.19d
77    3s.20s
78    3s.20p
79    3s.20d
80    3p.3d
81    3p.4s
82    3p.4p
83    3p.4d
84    3p.4f
85    3d2

