AtNum	IonCh	MIdx	LvNum	type	FullConfig	ElectronConfig	Term	2S	L	P	LevelWeight	ExcitationWaven	commentid
12	0	1	1	1	2p6.3s2-1S	 2p6.3s2	      1S	0	0	NULL	1	0	27
12	0	1	2	1	3s.3p-3P*	   3s.3p	     3P*	2	1	NULL	9	21850.405	27
12	0	1	3	1	3s.3p-1P*	   3s.3p	     1P*	0	1	NULL	3	35051.264	27
12	0	1	4	1	3s.4s-3S	   3s.4s	      3S	2	0	NULL	3	41197.403	27
12	0	1	5	1	3s.4s-1S	   3s.4s	      1S	0	0	NULL	1	43503.333	27
12	0	1	6	1	3s.3d-1D	   3s.3d	      1D	0	2	NULL	5	46403.065	27
12	0	1	7	1	3s.4p-3P*	   3s.4p	     3P*	2	1	NULL	9	47841.119	27
12	0	1	8	1	3s.3d-3D	   3s.3d	      3D	2	2	NULL	15	47957.027	27
12	0	1	9	1	3s.4p-1P*	   3s.4p	     1P*	0	1	NULL	3	49346.729	27
12	0	1	10	1	3s.5s-3S	   3s.5s	      3S	2	0	NULL	3	51872.526	27
12	0	1	11	1	3s.5s-1S	   3s.5s	      1S	0	0	NULL	1	52556.206	27
12	0	1	12	1	3s.4d-1D	   3s.4d	      1D	0	2	NULL	5	53134.642	27
12	0	1	13	1	3s.4d-3D	   3s.4d	      3D	2	2	NULL	15	54192.256	27
12	0	1	14	1	3s.5p-3P*	   3s.5p	     3P*	2	1	NULL	9	54248.809	27
12	0	1	15	1	3s.4f-1F*	   3s.4f	     1F*	0	3	NULL	7	54676.438	27
12	0	1	16	1	3s.4f-3F*	   3s.4f	     3F*	2	3	NULL	21	54676.654	27
12	0	1	17	1	3s.5p-1P*	   3s.5p	     1P*	0	1	NULL	3	54706.536	27
12	0	1	18	1	3s.6s-3S	   3s.6s	      3S	2	0	NULL	3	55891.8	27
12	0	1	19	1	3s.6s-1S	   3s.6s	      1S	0	0	NULL	1	56186.873	27
12	0	1	20	1	3s.5d-1D	   3s.5d	      1D	0	2	NULL	5	56308.381	27
12	0	1	21	1	3s.5d-3D	   3s.5d	      3D	2	2	NULL	15	56968.218	27
12	0	1	22	1	3s.6p-3P*	   3s.6p	     3P*	2	1	NULL	9	57017.078	27
12	0	1	23	1	3s.5f-1F*	   3s.5f	     1F*	0	3	NULL	7	57204.163	27
12	0	1	24	1	3s.5f-3F*	   3s.5f	     3F*	2	3	NULL	21	57204.228	27
12	0	1	25	1	3s.6p-1P*	   3s.6p	     1P*	0	1	NULL	3	57214.992	27
12	0	1	26	1	3s.5g-3G	   3s.5g	      3G	2	4	NULL	27	57262.76	27
12	0	1	27	1	3s.5g-1G	   3s.5g	      1G	0	4	NULL	9	57262.76	27
12	0	1	28	1	  3p2-3P	     3p2	      3P	2	1	NULL	9	57812.77	27
12	0	1	29	1	3s.7s-3S	   3s.7s	      3S	2	0	NULL	3	57855.214	27
12	0	1	30	1	3s.7s-1S	   3s.7s	      1S	0	0	NULL	1	58009.41	27
12	0	1	31	1	3s.6d-1D	   3s.6d	      1D	0	2	NULL	5	58023.246	27
12	0	1	32	1	3s.6d-3D	   3s.6d	      3D	2	2	NULL	15	58442.843	27
12	0	1	33	1	3s.7p-3P*	   3s.7p	     3P*	2	1	NULL	9	58476.689	27
12	0	1	34	1	3s.6f-1F*	   3s.6f	     1F*	0	3	NULL	7	58575.477	27
12	0	1	35	1	3s.6f-3F*	   3s.6f	     3F*	2	3	NULL	21	58575.527	27
12	0	1	36	1	3s.7p-1P*	   3s.7p	     1P*	0	1	NULL	3	58580.23	27
12	0	1	37	1	3s.6g-3G	   3s.6g	      3G	2	4	NULL	27	58610.795	27
12	0	1	38	1	3s.6g-1G	   3s.6g	      1G	0	4	NULL	9	58610.795	27
12	0	1	39	1	3s.6h-3H*	   3s.6h	     3H*	2	5	NULL	33	58618.942	27
12	0	1	40	1	3s.6h-1H*	   3s.6h	     1H*	0	5	NULL	11	58618.942	27
12	0	1	41	1	3s.8s-3S	   3s.8s	      3S	2	0	NULL	3	58962.739	27
12	0	1	42	1	3s.7d-1D	   3s.7d	      1D	0	2	NULL	5	59041.019	27
12	0	1	43	1	3s.8s-1S	   3s.8s	      1S	0	0	NULL	1	59053.52	27
12	0	1	44	1	3s.7d-3D	   3s.7d	      3D	2	2	NULL	15	59318.764	27
12	0	1	45	1	3s.8p-3P*	   3s.8p	     3P*	2	1	NULL	9	59342.51	27
12	0	1	46	1	3s.7f-3F*	   3s.7f	     3F*	2	3	NULL	21	59400.763	27
12	0	1	47	1	3s.7f-1F*	   3s.7f	     1F*	0	3	NULL	7	59400.763	27
12	0	1	48	1	3s.8p-1P*	   3s.8p	     1P*	0	1	NULL	3	59403.18	27
12	0	1	49	1	3s.7g-1G	   3s.7g	      1G	0	4	NULL	9	59423.537	27
12	0	1	50	1	3s.7g-3G	   3s.7g	      3G	2	4	NULL	27	59423.537	27
12	0	1	51	1	3s.7h-3H*	   3s.7h	     3H*	2	5	NULL	33	59428.853	27
12	0	1	52	1	3s.7h-1H*	   3s.7h	     1H*	0	5	NULL	11	59428.853	27
12	0	1	53	1	3s.7i-3I	   3s.7i	      3I	2	6	NULL	39	59430.517	27
12	0	1	54	1	3s.7i-1I	   3s.7i	      1I	0	6	NULL	13	59430.517	27
12	0	1	55	1	3s.9s-3S	   3s.9s	      3S	2	0	NULL	3	59649.15	27
12	0	1	56	1	3s.8d-1D	   3s.8d	      1D	0	2	NULL	5	59689.991	27
12	0	1	57	1	3s.9s-1S	   3s.9s	      1S	0	0	NULL	1	59707.11	27
12	0	1	58	1	3s.8d-3D	   3s.8d	      3D	2	2	NULL	15	59881.168	27
12	0	1	59	1	3s.9p-3P*	   3s.9p	     3P*	2	1	NULL	9	59897.86	27
12	0	1	60	1	3s.8f-1F*	   3s.8f	     1F*	0	3	NULL	7	59935.37	27
12	0	1	61	1	3s.8f-3F*	   3s.8f	     3F*	2	3	NULL	21	59935.37	27
12	0	1	62	1	3s.9p-1P*	   3s.9p	     1P*	0	1	NULL	3	59936.63	27
12	0	1	63	1	3s.8g-1G	   3s.8g	      1G	0	4	NULL	9	59950.87	27
12	0	1	64	1	3s.8g-3G	   3s.8g	      3G	2	4	NULL	27	59950.87	27
12	0	1	65	1	3s.8h-3H*	   3s.8h	     3H*	2	5	NULL	33	59954.523	27
12	0	1	66	1	3s.8h-1H*	   3s.8h	     1H*	0	5	NULL	11	59954.523	27
12	0	1	67	1	3s.10s-3S	  3s.10s	      3S	2	0	NULL	3	60104	27
12	0	1	68	1	3s.9d-1D	   3s.9d	      1D	0	2	NULL	5	60127.239	27
12	0	1	69	1	3s.10s-1S	  3s.10s	      1S	0	0	NULL	1	60143.23	27
12	0	1	70	1	3s.9d-3D	   3s.9d	      3D	2	2	NULL	15	60263.583	27
12	0	1	71	1	3s.9f-1F*	   3s.9f	     1F*	0	3	NULL	7	60301.283	27
12	0	1	72	1	3s.9f-3F*	   3s.9f	     3F*	2	3	NULL	21	60301.283	27
12	0	1	73	1	3s.10p-1P*	  3s.10p	     1P*	0	1	NULL	3	60302.3	27
12	0	1	74	1	3s.9g-3G	   3s.9g	      3G	2	4	NULL	27	60312.317	27
12	0	1	75	1	3s.9g-1G	   3s.9g	      1G	0	4	NULL	9	60312.317	27
12	0	1	76	1	3s.9h-3H*	   3s.9h	     3H*	2	5	NULL	33	60314.902	27
12	0	1	77	1	3s.9h-1H*	   3s.9h	     1H*	0	5	NULL	11	60314.902	27
12	0	1	78	1	3s.9i-3I	   3s.9i	      3I	2	6	NULL	39	60315.722	27
12	0	1	79	1	3s.9i-1I	   3s.9i	      1I	0	6	NULL	13	60315.722	27
12	0	1	80	1	3s.9k-3K*	   3s.9k	     3K*	2	7	NULL	45	60316.041	27
12	0	1	81	1	3s.9k-1K*	   3s.9k	     1K*	0	7	NULL	15	60316.041	27
12	0	1	82	1	3s.11s-3S	  3s.11s	      3S	2	0	NULL	3	60420.87	27
12	0	1	83	1	3s.10d-1D	  3s.10d	      1D	0	2	NULL	5	60435.099	27
12	0	1	84	1	3s.10d-3D	  3s.10d	      3D	2	2	NULL	15	60535.34	27
12	0	1	85	1	3s.10f-3F*	  3s.10f	     3F*	2	3	NULL	21	60562.637	27
12	0	1	86	1	3s.10f-1F*	  3s.10f	     1F*	0	3	NULL	7	60562.637	27
12	0	1	87	1	3s.11p-1P*	  3s.11p	     1P*	0	1	NULL	3	60563.35	27
12	0	1	88	1	3s.12s-3S	  3s.12s	      3S	2	0	NULL	3	60650.46	27
12	0	1	89	1	3s.11d-1D	  3s.11d	      1D	0	2	NULL	5	60659.69	27
12	0	1	90	1	3s.11d-3D	  3s.11d	      3D	2	2	NULL	15	60735.38	27
12	0	1	91	1	3s.11f-3F*	  3s.11f	     3F*	2	3	NULL	21	60755.764	27
12	0	1	92	1	3s.11f-1F*	  3s.11f	     1F*	0	3	NULL	7	60755.764	27
12	0	1	93	1	3s.12p-1P*	  3s.12p	     1P*	0	1	NULL	3	60756.13	27
12	0	1	94	1	3s.13s-3S	  3s.13s	      3S	2	0	NULL	3	60822.17	27
12	0	1	95	1	3s.12d-1D	  3s.12d	      1D	0	2	NULL	5	60828.41	27
12	0	1	96	1	3s.12d-3D	  3s.12d	      3D	2	2	NULL	15	60886.83	27
12	0	1	97	1	3s.12f-1F*	  3s.12f	     1F*	0	3	NULL	7	60902.5	27
12	0	1	98	1	3s.12f-3F*	  3s.12f	     3F*	2	3	NULL	21	60902.5	27
12	0	1	99	1	3s.13p-1P*	  3s.13p	     1P*	0	1	NULL	3	60902.93	27
12	0	1	100	1	3s.14s-3S	  3s.14s	      3S	2	0	NULL	3	60953.9	27
12	0	1	101	1	3s.13d-1D	  3s.13d	      1D	0	2	NULL	5	60958.31	27
12	0	1	102	1	3s.13d-3D	  3s.13d	      3D	2	2	NULL	15	61004.33	27
12	0	1	103	1	3s.13f-3F*	  3s.13f	     3F*	2	3	NULL	21	61016.6	27
12	0	1	104	1	3s.13f-1F*	  3s.13f	     1F*	0	3	NULL	7	61016.6	27
12	0	1	105	1	3s.14p-1P*	  3s.14p	     1P*	0	1	NULL	3	61016.93	27
12	0	1	106	1	3s.14d-1D	  3s.14d	      1D	0	2	NULL	5	61060.5	27
12	0	1	107	1	3s.14d-3D	  3s.14d	      3D	2	2	NULL	15	61097.27	27
12	0	1	108	1	3s.14f-3F*	  3s.14f	     3F*	2	3	NULL	21	61107.05	27
12	0	1	109	1	3s.14f-1F*	  3s.14f	     1F*	0	3	NULL	7	61107.05	27
12	0	1	110	1	3s.15p-1P*	  3s.15p	     1P*	0	1	NULL	3	61107.34	27
12	0	1	111	1	3s.15d-1D	  3s.15d	      1D	0	2	NULL	5	61142.1	27
12	0	1	112	1	3s.15f-3F*	  3s.15f	     3F*	2	3	NULL	21	61179.97	27
12	0	1	113	1	3s.15f-1F*	  3s.15f	     1F*	0	3	NULL	7	61179.97	27
12	0	1	114	1	3s.16p-1P*	  3s.16p	     1P*	0	1	NULL	3	61180.24	27
12	0	1	115	1	3s.16d-1D	  3s.16d	      1D	0	2	NULL	5	61208.2	27
12	0	1	116	1	3s.17p-1P*	  3s.17p	     1P*	0	1	NULL	3	61239.83	27
12	0	1	117	1	3s.17d-1D	  3s.17d	      1D	0	2	NULL	5	61262.9	27
12	0	1	118	1	3s.18p-1P*	  3s.18p	     1P*	0	1	NULL	3	61289.19	27
12	0	1	119	1	3s.18d-1D	  3s.18d	      1D	0	2	NULL	5	61308.4	27
12	0	1	120	1	3s.19p-1P*	  3s.19p	     1P*	0	1	NULL	3	61330.55	27
12	0	1	121	1	3s.19d-1D	  3s.19d	      1D	0	2	NULL	5	61346.7	27
12	0	1	122	1	3s.20p-1P*	  3s.20p	     1P*	0	1	NULL	3	61365.55	27
12	0	1	123	1	3s.20d-1D	  3s.20d	      1D	0	2	NULL	5	61379.2	27
12	0	1	124	1	3s.21p-1P*	  3s.21p	     1P*	0	1	NULL	3	61395.43	27
12	0	1	125	1	3s.21d-1D	  3s.21d	      1D	0	2	NULL	5	61407	27
12	0	1	126	1	3s.22p-1P*	  3s.22p	     1P*	0	1	NULL	3	61421.14	27
12	0	1	127	1	3s.22d-1D	  3s.22d	      1D	0	2	NULL	5	61432	27
12	0	1	128	1	3s.23p-1P*	  3s.23p	     1P*	0	1	NULL	3	61443.41	27
12	0	1	129	1	3s.23d-1D	  3s.23d	      1D	0	2	NULL	5	61452	27
12	0	1	130	1	3s.24p-1P*	  3s.24p	     1P*	0	1	NULL	3	61462.82	27
12	0	1	131	1	3s.24d-1D	  3s.24d	      1D	0	2	NULL	5	61471	27
12	0	1	132	1	3s.25p-1P*	  3s.25p	     1P*	0	1	NULL	3	61479.87	27
12	0	1	133	1	3s.25d-1D	  3s.25d	      1D	0	2	NULL	5	61487	27
12	0	1	134	1	3s.26p-1P*	  3s.26p	     1P*	0	1	NULL	3	61494.9	27
12	0	1	135	1	3s.27p-1P*	  3s.27p	     1P*	0	1	NULL	3	61508.24	27
12	0	1	136	1	3s.28p-1P*	  3s.28p	     1P*	0	1	NULL	3	61520.12	27
12	0	1	137	1	3s.29p-1P*	  3s.29p	     1P*	0	1	NULL	3	61530.73	27
12	0	1	138	1	3s.30p-1P*	  3s.30p	     1P*	0	1	NULL	3	61540.26	27
12	0	1	139	1	3s.31p-1P*	  3s.31p	     1P*	0	1	NULL	3	61548.81	27
12	0	1	140	1	3s.32p-1P*	  3s.32p	     1P*	0	1	NULL	3	61556.63	27
12	0	1	141	1	3s.33p-1P*	  3s.33p	     1P*	0	1	NULL	3	61563.68	27
12	0	1	142	1	3s.34p-1P*	  3s.34p	     1P*	0	1	NULL	3	61570.11	27
12	0	1	143	1	3s.35p-1P*	  3s.35p	     1P*	0	1	NULL	3	61575.99	27
12	0	1	144	1	3s.36p-1P*	  3s.36p	     1P*	0	1	NULL	3	61581.34	27
12	0	1	145	1	3s.37p-1P*	  3s.37p	     1P*	0	1	NULL	3	61586.33	27
12	0	1	146	1	3s.38p-1P*	  3s.38p	     1P*	0	1	NULL	3	61590.82	27
12	0	1	147	1	3s.39p-1P*	  3s.39p	     1P*	0	1	NULL	3	61595.02	27
12	0	1	148	1	3s.40p-1P*	  3s.40p	     1P*	0	1	NULL	3	61598.87	27
12	0	1	149	1	3s.41p-1P*	  3s.41p	     1P*	0	1	NULL	3	61602.44	27
12	0	1	150	1	3s.42p-1P*	  3s.42p	     1P*	0	1	NULL	3	61605.74	27
12	0	1	151	1	3s.43p-1P*	  3s.43p	     1P*	0	1	NULL	3	61608.86	27
12	0	1	152	1	3s.44p-1P*	  3s.44p	     1P*	0	1	NULL	3	61611.67	27
12	0	1	153	1	3s.45p-1P*	  3s.45p	     1P*	0	1	NULL	3	61614.4	27
12	0	1	154	1	3s.46p-1P*	  3s.46p	     1P*	0	1	NULL	3	61616.88	27
12	0	1	155	1	3s.47p-1P*	  3s.47p	     1P*	0	1	NULL	3	61619.23	27
12	0	1	156	1	3s.48p-1P*	  3s.48p	     1P*	0	1	NULL	3	61621.43	27
12	0	1	157	1	3s.49p-1P*	  3s.49p	     1P*	0	1	NULL	3	61623.49	27
12	0	1	158	1	3s.50p-1P*	  3s.50p	     1P*	0	1	NULL	3	61625.45	27
12	0	1	159	1	3s.51p-1P*	  3s.51p	     1P*	0	1	NULL	3	61627.17	27
12	0	1	160	1	3s.52p-1P*	  3s.52p	     1P*	0	1	NULL	3	61628.94	27
12	0	1	161	1	3s.53p-1P*	  3s.53p	     1P*	0	1	NULL	3	61630.6	27
12	0	1	162	1	3s.54p-1P*	  3s.54p	     1P*	0	1	NULL	3	61631.99	27
12	0	1	163	1	3s.55p-1P*	  3s.55p	     1P*	0	1	NULL	3	61633.43	27
12	0	1	164	1	3s.56p-1P*	  3s.56p	     1P*	0	1	NULL	3	61634.87	27
12	0	1	165	1	3s.57p-1P*	  3s.57p	     1P*	0	1	NULL	3	61636.2	27
12	0	1	166	1	3s.58p-1P*	  3s.58p	     1P*	0	1	NULL	3	61637.27	27
12	0	1	167	1	3s.59p-1P*	  3s.59p	     1P*	0	1	NULL	3	61638.48	27
