Configuration| Term|J |    Level
2p6.3s2      | 1S  |0 |    0.000
3s.3p        | 3P* |0 |21850.405
             |     |1 |21870.464
             |     |2 |21911.178
3s.3p        | 1P* |1 |35051.264
3s.4s        | 3S  |1 |41197.403
3s.4s        | 1S  |0 |43503.333
3s.3d        | 1D  |2 |46403.065
3s.4p        | 3P* |0 |47841.119
             |     |1 |47844.414
             |     |2 |47851.162
3s.3d        | 3D  |2 |47957.027
             |     |3 |47957.045
             |     |1 |47957.058
3s.4p        | 1P* |1 |49346.729
3s.5s        | 3S  |1 |51872.526
3s.5s        | 1S  |0 |52556.206
3s.4d        | 1D  |2 |53134.642
3s.4d        | 3D  |3 |54192.256
             |     |2 |54192.294
             |     |1 |54192.335
3s.5p        | 3P* |0 |54248.809
             |     |1 |54250.086
             |     |2 |54252.726
3s.4f        | 1F* |3 |54676.438
3s.4f        | 3F* |2 |54676.654
             |     |3 |54676.701
             |     |4 |54676.755
3s.5p        | 1P* |1 |54706.536
3s.6s        | 3S  |1 |55891.80 
3s.6s        | 1S  |0 |56186.873
3s.5d        | 1D  |2 |56308.381
3s.5d        | 3D  |3 |56968.218
             |     |2 |56968.248
             |     |1 |56968.271
3s.6p        | 3P* |0 |57017.078
             |     |1 |57017.724
             |     |2 |57019.025
3s.5f        | 1F* |3 |57204.163
3s.5f        | 3F* |2 |57204.228
             |     |3 |57204.267
             |     |4 |57204.305
3s.6p        | 1P* |1 |57214.992
3s.5g        | 3G  |3 |57262.760
             |     |4 |57262.760
3s.5g        | 1G  |4 |57262.760
3p2          | 3P  |0 |57812.77 
             |     |1 |57833.40 
             |     |2 |57873.94 
3s.7s        | 3S  |1 |57855.214
3s.7s        | 1S  |0 |58009.41 
3s.6d        | 1D  |2 |58023.246
3s.6d        | 3D  |3 |58442.843
             |     |2 |58442.853
             |     |1 |58442.874
3s.7p        | 3P* |0 |58476.689
             |     |1 |58477.020
             |     |2 |58477.760
3s.6f        | 1F* |3 |58575.477
3s.6f        | 3F* |3 |58575.527
             |     |2 |58575.527
             |     |4 |58575.527
3s.7p        | 1P* |1 |58580.23 
3s.6g        | 3G  |5 |58610.795
             |     |4 |58610.795
             |     |3 |58610.795
3s.6g        | 1G  |4 |58610.795
3s.6h        | H*  |  |58618.942
3s.8s        | 3S  |1 |58962.739
3s.7d        | 1D  |2 |59041.019
3s.8s        | 1S  |0 |59053.52 
3s.7d        | 3D  |3 |59318.764
             |     |2 |59318.775
             |     |1 |59318.793
3s.8p        | 3P* |0 |59342.51 
             |     |2 |59342.51 
             |     |1 |59342.51 
3s.7f        | 3F* |2 |59400.763
             |     |4 |59400.763
             |     |3 |59400.763
3s.7f        | 1F* |3 |59400.763
3s.8p        | 1P* |1 |59403.18 
3s.7g        | 1G  |4 |59423.537
3s.7g        | 3G  |4 |59423.537
             |     |3 |59423.537
             |     |5 |59423.537
3s.7h        | H*  |  |59428.853
3s.7i        | I   |  |59430.517
3s.9s        | 3S  |1 |59649.15 
3s.8d        | 1D  |2 |59689.991
3s.9s        | 1S  |0 |59707.11 
3s.8d        | 3D  |3 |59881.168
             |     |2 |59881.181
             |     |1 |59881.196
3s.9p        | 3P* |0 |59897.86 
             |     |2 |59897.86 
             |     |1 |59897.86 
3s.8f        | 1F* |3 |59935.370
3s.8f        | 3F* |3 |59935.370
             |     |2 |59935.370
             |     |4 |59935.370
3s.9p        | 1P* |1 |59936.63 
3s.8g        | 1G  |4 |59950.87 
3s.8g        | 3G  |5 |59950.87 
             |     |4 |59950.87 
3s.8h        | H*  |  |59954.523
3s.10s       | 3S  |1 |60104.00 
3s.9d        | 1D  |2 |60127.239
3s.10s       | 1S  |0 |60143.23 
3s.9d        | 3D  |2 |60263.583
             |     |1 |60263.583
             |     |3 |60263.583
3s.9f        | 1F* |3 |60301.283
3s.9f        | 3F* |3 |60301.283
             |     |2 |60301.283
             |     |4 |60301.283
3s.10p       | 1P* |1 |60302.30 
