K	Conf	Term	2S+1	L	P	2J	CF	AS(Ryd)	NIST(Ryd)	Energy
1	3s2	1S	1	0	0	0	1	0.000000	0.000000	0.000000
2	3s.3p	3P*	3	1	1	0	2	0.199244	0.199116	0.199116
3	3s.3p	3P*	3	1	1	2	2	0.199364	0.199298	0.199298
4	3s.3p	3P*	3	1	1	4	2	0.199604	0.199669	0.199669
5	3s.3p	1P*	1	1	1	2	2	0.319411	0.319411	0.319411
6	3s.4s	3S	3	0	0	2	4	0.375418	0.375418	0.375418
7	3s.4s	1S	1	0	0	0	4	0.396432	0.396432	0.396432
8	3s.3d	1D	1	2	0	4	3	0.422856	0.422856	0.422856
9	3s.4p	3P*	3	1	1	0	5	0.435949	0.435960	0.435960
10	3s.4p	3P*	3	1	1	2	5	0.435985	0.435990	0.435990
11	3s.4p	3P*	3	1	1	4	5	0.436057	0.436052	0.436052
12	3s.3d	3D	3	2	0	2	3	0.437016	0.437017	0.437017
13	3s.3d	3D	3	2	0	4	3	0.437016	0.437017	0.437017
14	3s.3d	3D	3	2	0	6	3	0.437017	0.437017	0.437017
15	3s.4p	1P*	1	1	1	2	5	0.449680	0.449680	0.449680
16	3s.5s	3S	3	0	0	2	8	0.472697	0.472697	0.472697
17	3s.5s	1S	1	0	0	0	8	0.478927	0.478927	0.478927
18	3s.4d	1D	1	2	0	4	6	0.484198	0.484198	0.484198
19	3s.4d	3D	3	2	0	2	6	0.493836	0.493837	0.493837
20	3s.4d	3D	3	2	0	4	6	0.493836	0.493837	0.493837
21	3s.4d	3D	3	2	0	6	6	0.493837	0.493836	0.493836
22	3s.5p	3P*	3	1	1	0	9	0.494346	0.494352	0.494352
23	3s.5p	3P*	3	1	1	2	9	0.494360	0.494363	0.494363
24	3s.5p	3P*	3	1	1	4	9	0.494390	0.494387	0.494387
25	3s.4f	1F*	1	3	1	6	7	0.498248	0.498248	0.498248
26	3s.4f	3F*	3	3	1	4	7	0.498250	0.498250	0.498250
27	3s.4f	3F*	3	3	1	6	7	0.498251	0.498251	0.498251
28	3s.4f	3F*	3	3	1	8	7	0.498251	0.498251	0.498251
29	3s.5p	1P*	1	1	1	2	9	0.498523	0.498523	0.498523
30	3s.6s	3S	3	0	0	2	14	0.509324	0.509324	0.509324
31	3s.6s	1S	1	0	0	0	14	0.512012	0.512012	0.512012
32	3s.5d	1D	1	2	0	4	10	0.513120	0.513120	0.513120
33	3s.5d	3D	3	2	0	2	10	0.519133	0.519133	0.519133
34	3s.5d	3D	3	2	0	4	10	0.519133	0.519133	0.519133
35	3s.5d	3D	3	2	0	6	10	0.519133	0.519133	0.519133
36	3s.6p	3P*	3	1	1	0	15	0.519575	0.519578	0.519578
37	3s.6p	3P*	3	1	1	2	15	0.519582	0.519584	0.519584
38	3s.6p	3P*	3	1	1	4	15	0.519597	0.519596	0.519596
39	3s.5f	1F*	1	3	1	6	11	0.521283	0.521283	0.521283
40	3s.5f	3F*	3	3	1	4	11	0.521283	0.521283	0.521283
41	3s.5f	3F*	3	3	1	6	11	0.521284	0.521284	0.521284
42	3s.5f	3F*	3	3	1	8	11	0.521284	0.521284	0.521284
43	3s.6p	1P*	1	1	1	2	15	0.521381	0.521381	0.521381
44	3s.5g	3G	3	4	0	6	12	0.521817	0.521817	0.521817
45	3s.5g	1G	1	4	0	8	12	0.521817	0.521817	0.521817
46	3s.5g	3G	3	4	0	8	12	0.521817	0.521817	0.521817
47	3s.5g	3G	3	4	0	10	12	0.521817	0.521817	0.521817
48	3p2	3P	3	1	0	0	13	0.526958	0.526829	0.526829
49	3p2	3P	3	1	0	2	13	0.527080	0.527017	0.527017
50	3s.7s	3S	3	0	0	2	20	0.527216	0.527215	0.527215
51	3p2	3P	3	1	0	4	13	0.527322	0.527386	0.527386
52	3s.7s	1S	1	0	0	0	20	0.528621	0.528621	0.528621
53	3s.6d	1D	1	2	0	4	16	0.528747	0.528747	0.528747
54	3s.6d	3D	3	2	0	2	16	0.532570	0.532571	0.532571
55	3s.6d	3D	3	2	0	4	16	0.532570	0.532570	0.532570
56	3s.6d	3D	3	2	0	6	16	0.532571	0.532570	0.532570
57	3s.7p	3P*	3	1	1	0	21	0.532877	0.532879	0.532879
58	3s.7p	3P*	3	1	1	2	21	0.532881	0.532882	0.532882
59	3s.7p	3P*	3	1	1	4	21	0.532890	0.532889	0.532889
60	3s.6f	1F*	1	3	1	6	17	0.533779	0.533779	0.533779
61	3s.6f	3F*	3	3	1	4	17	0.533779	0.533779	0.533779
62	3s.6f	3F*	3	3	1	6	17	0.533779	0.533779	0.533779
63	3s.6f	3F*	3	3	1	8	17	0.533780	0.533779	0.533779
64	3s.7p	1P*	1	1	1	2	21	0.533822	0.533822	0.533822
65	3s.6g	3G	3	4	0	6	18	0.534101	0.534101	0.534101
66	3s.6g	1G	1	4	0	8	18	0.534101	0.534101	0.534101
67	3s.6g	3G	3	4	0	8	18	0.534101	0.534101	0.534101
68	3s.6g	3G	3	4	0	10	18	0.534101	0.534101	0.534101
69	3s.6h	1H*	1	5	1	10	19	0.534175	0.534175	0.534175
70	3s.6h	3H*	3	5	1	8	19	0.534175	0.534175	0.534175
71	3s.6h	3H*	3	5	1	10	19	0.534175	0.534175	0.534175
72	3s.6h	3H*	3	5	1	12	19	0.534175	0.534175	0.534175
73	3s.8s	3S	3	0	0	2	27	0.537308	0.537308	0.537308
74	3s.7d	1D	1	2	0	4	22	0.538021	0.538021	0.538021
75	3s.8s	1S	1	0	0	0	27	0.538135	0.538135	0.538135
76	3s.7d	3D	3	2	0	2	22	0.540552	0.540553	0.540553
77	3s.7d	3D	3	2	0	4	22	0.540552	0.540552	0.540552
78	3s.7d	3D	3	2	0	6	22	0.540552	0.540552	0.540552
79	3s.8p	3P*	3	1	1	0	28	0.540763	0.540769	0.540769
80	3s.8p	3P*	3	1	1	2	28	0.540766	0.540769	0.540769
81	3s.8p	3P*	3	1	1	4	28	0.540771	0.540769	0.540769
82	3s.7f	1F*	1	3	1	6	23	0.541299	0.541300	0.541300
83	3s.7f	3F*	3	3	1	4	23	0.541299	0.541300	0.541300
84	3s.7f	3F*	3	3	1	6	23	0.541300	0.541300	0.541300
85	3s.7f	3F*	3	3	1	8	23	0.541300	0.541300	0.541300
86	3s.8p	1P*	1	1	1	2	28	0.541322	0.541322	0.541322
87	3s.7g	3G	3	4	0	6	24	0.541507	0.541507	0.541507
88	3s.7g	3G	3	4	0	8	24	0.541507	0.541507	0.541507
89	3s.7g	1G	1	4	0	8	24	0.541507	0.541507	0.541507
90	3s.7g	3G	3	4	0	10	24	0.541507	0.541507	0.541507
91	3s.7h	1H*	1	5	1	10	25	0.541556	0.541556	0.541556
92	3s.7h	3H*	3	5	1	8	25	0.541556	0.541556	0.541556
93	3s.7h	3H*	3	5	1	10	25	0.541556	0.541556	0.541556
94	3s.7h	3H*	3	5	1	12	25	0.541556	0.541556	0.541556
95	3s.7i	1I	1	6	0	12	26	0.541571	0.541571	0.541571
96	3s.7i	3I	3	6	0	10	26	0.541571	0.541571	0.541571
97	3s.7i	3I	3	6	0	12	26	0.541571	0.541571	0.541571
98	3s.7i	3I	3	6	0	14	26	0.541571	0.541571	0.541571
99	3s.9s	3S	3	0	0	2	33	0.543563	0.543563	0.543563
100	3s.8d	1D	1	2	0	4	29	0.543935	0.543935	0.543935
101	3s.9s	1S	1	0	0	0	33	0.544091	0.544091	0.544091
102	3s.8d	3D	3	2	0	2	29	0.545677	0.545678	0.545678
103	3s.8d	3D	3	2	0	4	29	0.545677	0.545677	0.545677
104	3s.8d	3D	3	2	0	6	29	0.545677	0.545677	0.545677
105	3s.9p	3P*	3	1	1	0	34	0.545826	0.545829	0.545829
106	3s.9p	3P*	3	1	1	2	34	0.545828	0.545829	0.545829
107	3s.9p	3P*	3	1	1	4	34	0.545831	0.545829	0.545829
108	3s.8f	1F*	1	3	1	6	30	0.546171	0.546171	0.546171
