Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.3p	3P*	3	1	1	3	0.19929833	3s2	1S	1	0	0	1	0.00000000	2.540e+02	2.380e-06	2.380e-06
3s.3p	1P*	1	1	1	3	0.31941062	3s2	1S	1	0	0	1	0.00000000	4.910e+08	1.800e+00	1.800e+00
3s.4s	3S	3	0	0	3	0.37541836	3s.3p	3P*	3	1	1	1	0.19911554	1.130e+07	1.350e-01	1.350e-01
3s.4s	3S	3	0	0	3	0.37541836	3s.3p	3P*	3	1	1	3	0.19929833	3.370e+07	1.350e-01	4.050e-01
3s.4s	3S	3	0	0	3	0.37541836	3s.3p	3P*	3	1	1	5	0.19966935	5.610e+07	1.360e-01	6.800e-01
3s.4s	3S	3	0	0	3	0.37541836	3s.3p	1P*	1	1	1	3	0.31941062	1.113e-01	4.416e-09	1.325e-08
3s.4s	1S	1	0	0	1	0.39643154	3s.3p	3P*	3	1	1	3	0.19929833	6.849e+02	7.314e-07	2.194e-06
3s.4s	1S	1	0	0	1	0.39643154	3s.3p	1P*	1	1	1	3	0.31941062	2.220e+07	1.550e-01	4.650e-01
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	3P*	3	1	1	3	0.19929833	1.656e+02	6.875e-07	2.063e-06
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	3P*	3	1	1	5	0.19966935	6.634e+01	1.658e-07	8.290e-07
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	1P*	1	1	1	3	0.31941062	1.270e+07	2.450e-01	7.350e-01
3s.4p	3P*	3	1	1	1	0.43596035	3s.4s	3S	3	0	0	3	0.37541836	1.340e+07	1.520e-01	4.560e-01
3s.4p	3P*	3	1	1	3	0.43599038	3s2	1S	1	0	0	1	0.00000000	1.832e+03	3.600e-06	3.600e-06
3s.4p	3P*	3	1	1	3	0.43599038	3s.4s	3S	3	0	0	3	0.37541836	1.340e+07	4.550e-01	1.365e+00
3s.4p	3P*	3	1	1	3	0.43599038	3s.4s	1S	1	0	0	1	0.39643154	2.650e+01	6.326e-06	6.326e-06
3s.4p	3P*	3	1	1	3	0.43599038	3s.3d	1D	1	2	0	5	0.42285584	9.206e-01	3.986e-07	1.993e-06
3s.4p	3P*	3	1	1	5	0.43605187	3s.4s	3S	3	0	0	3	0.37541836	1.350e+07	7.590e-01	2.277e+00
3s.3d	3D	3	2	0	3	0.43701687	3s.3p	3P*	3	1	1	1	0.19911554	8.990e+07	5.930e-01	5.930e-01
3s.3d	3D	3	2	0	3	0.43701687	3s.3p	3P*	3	1	1	3	0.19929833	6.740e+07	1.480e-01	4.440e-01
3s.3d	3D	3	2	0	3	0.43701687	3s.3p	3P*	3	1	1	5	0.19966935	4.274e+06	5.667e-03	2.833e-02
3s.3d	3D	3	2	0	3	0.43701687	3s.3p	1P*	1	1	1	3	0.31941062	1.375e+00	1.238e-08	3.713e-08
3s.3d	3D	3	2	0	3	0.43701687	3s.4p	3P*	3	1	1	1	0.43596035	6.095e+01	2.039e-02	2.039e-02
3s.3d	3D	3	2	0	3	0.43701687	3s.4p	3P*	3	1	1	3	0.43599038	4.126e+01	4.875e-03	1.462e-02
3s.3d	3D	3	2	0	3	0.43701687	3s.4p	3P*	3	1	1	5	0.43605187	2.215e+00	1.776e-04	8.882e-04
