Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.3p	1P*	1	1	1	3	0.31941062	3s2	1S	1	0	0	1	0.00000000	4.368e+08	1.599e+00	1.599e+00
3s.4s	3S	3	0	0	3	0.37541836	3s.3p	3P*	3	1	1	9	0.19948414	1.073e+08	1.438e-01	1.295e+00
3s.4s	1S	1	0	0	1	0.39643154	3s.3p	1P*	1	1	1	3	0.31941062	3.965e+07	2.774e-01	8.321e-01
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	1P*	1	1	1	3	0.31941062	2.643e+07	5.124e-01	1.537e+00
3s.4p	3P*	3	1	1	9	0.43602120	3s.4s	3S	3	0	0	3	0.37541836	1.364e+07	1.387e+00	4.162e+00
3s.3d	3D	3	2	0	15	0.43701672	3s.3p	3P*	3	1	1	9	0.19948414	1.541e+08	5.668e-01	5.101e+00
3s.3d	3D	3	2	0	15	0.43701672	3s.4p	3P*	3	1	1	9	0.43602120	8.933e+01	1.870e-02	1.683e-01
3s.4p	1P*	1	1	1	3	0.44968048	3s2	1S	1	0	0	1	0.00000000	1.409e+08	2.602e-01	2.602e-01
3s.4p	1P*	1	1	1	3	0.44968048	3s.4s	1S	1	0	0	1	0.39643154	9.629e+06	1.268e+00	1.268e+00
3s.4p	1P*	1	1	1	3	0.44968048	3s.3d	1D	1	2	0	5	0.42285584	1.134e+06	1.178e-01	5.888e-01
3s.5s	3S	3	0	0	3	0.47269724	3s.3p	3P*	3	1	1	9	0.19948414	2.551e+07	1.418e-02	1.276e-01
3s.5s	3S	3	0	0	3	0.47269724	3s.4p	3P*	3	1	1	9	0.43602120	9.701e+06	2.993e-01	2.693e+00
3s.5s	1S	1	0	0	1	0.47892739	3s.3p	1P*	1	1	1	3	0.31941062	6.479e+06	1.057e-02	3.170e-02
3s.5s	1S	1	0	0	1	0.47892739	3s.4p	1P*	1	1	1	3	0.44968048	9.269e+06	4.497e-01	1.349e+00
3s.4d	1D	1	2	0	5	0.48419848	3s.3p	1P*	1	1	1	3	0.31941062	1.195e+07	9.131e-02	2.739e-01
3s.4d	1D	1	2	0	5	0.48419848	3s.4p	1P*	1	1	1	3	0.44968048	7.844e+06	1.366e+00	4.098e+00
