Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	1P*	1	1	1	3	0.31941062	3.195e-05
3s.3d	3D	3	2	0	15	0.43701672	3s.3p	3P*	3	1	1	9	0.19948414	2.587e-06
3s.4d	1D	1	2	0	5	0.48419848	3s.3p	1P*	1	1	1	3	0.31941062	2.024e-04
3s.4d	1D	1	2	0	5	0.48419848	3s.4p	1P*	1	1	1	3	0.44968048	3.461e-07
3s.4d	3D	3	2	0	15	0.49383643	3s.3p	3P*	3	1	1	9	0.19948414	1.569e-03
3s.4d	3D	3	2	0	15	0.49383643	3s.4p	3P*	3	1	1	9	0.43602120	2.092e-06
3s.5p	3P*	3	1	1	9	0.49437523	3s.3d	3D	3	2	0	15	0.43701672	7.469e-07
3s.4f	1F*	1	3	1	7	0.49824836	3s2	1S	1	0	0	1	0.00000000	1.858e-03
3s.4f	1F*	1	3	1	7	0.49824836	3s.4s	1S	1	0	0	1	0.39643154	4.310e-05
3s.4f	1F*	1	3	1	7	0.49824836	3s.3d	1D	1	2	0	5	0.42285584	2.827e-06
3s.4f	3F*	3	3	1	21	0.49825087	3s.4s	3S	3	0	0	3	0.37541836	5.570e-05
3s.4f	3F*	3	3	1	21	0.49825087	3s.3d	3D	3	2	0	15	0.43701672	1.638e-06
3s.5p	1P*	1	1	1	3	0.49852264	3s.3d	1D	1	2	0	5	0.42285584	6.463e-06
3s.5d	1D	1	2	0	5	0.51311972	3s.3p	1P*	1	1	1	3	0.31941062	1.681e-03
3s.5d	1D	1	2	0	5	0.51311972	3s.4p	1P*	1	1	1	3	0.44968048	4.576e-07
3s.5d	3D	3	2	0	15	0.51913279	3s.3p	3P*	3	1	1	9	0.19948414	5.004e-03
3s.5d	3D	3	2	0	15	0.51913279	3s.5p	3P*	3	1	1	9	0.49437523	1.786e-07
3s.6p	3P*	3	1	1	9	0.51958967	3s.4d	3D	3	2	0	15	0.49383643	1.312e-07
3s.5f	1F*	1	3	1	7	0.52128269	3s2	1S	1	0	0	1	0.00000000	3.261e-03
3s.5f	1F*	1	3	1	7	0.52128269	3s.4s	1S	1	0	0	1	0.39643154	1.100e-06
3s.5f	1F*	1	3	1	7	0.52128269	3s.3d	1D	1	2	0	5	0.42285584	1.263e-07
3s.5f	1F*	1	3	1	7	0.52128269	3s.5s	1S	1	0	0	1	0.47892739	2.400e-06
3s.5f	1F*	1	3	1	7	0.52128269	3s.4d	1D	1	2	0	5	0.48419848	6.341e-07
3s.5f	3F*	3	3	1	21	0.52128370	3s.4s	3S	3	0	0	3	0.37541836	2.010e-05
3s.5f	3F*	3	3	1	21	0.52128370	3s.5s	3S	3	0	0	3	0.47269724	1.951e-06
3s.5f	3F*	3	3	1	21	0.52128370	3s.4d	3D	3	2	0	15	0.49383643	2.043e-07
3s.6p	1P*	1	1	1	3	0.52138137	3s.3d	1D	1	2	0	5	0.42285584	4.082e-05
3s.6p	1P*	1	1	1	3	0.52138137	3s.4d	1D	1	2	0	5	0.48419848	2.908e-07
3s.5g	1G	1	4	0	9	0.52181666	3s.3p	1P*	1	1	1	3	0.31941062	1.613e-04
3s.5g	1G	1	4	0	9	0.52181666	3s.4p	1P*	1	1	1	3	0.44968048	3.416e-05
3s.5g	1G	1	4	0	9	0.52181666	3s.5p	1P*	1	1	1	3	0.49852264	2.212e-07
3s.5g	3G	3	4	0	27	0.52181666	3s.3p	3P*	3	1	1	9	0.19948414	1.415e-05
3s.5g	3G	3	4	0	27	0.52181666	3s.4p	3P*	3	1	1	9	0.43602120	2.690e-05
3s.5g	3G	3	4	0	27	0.52181666	3s.5p	3P*	3	1	1	9	0.49437523	4.056e-07
3s.6d	1D	1	2	0	5	0.52874672	3s.3p	1P*	1	1	1	3	0.31941062	4.784e-03
3s.6d	1D	1	2	0	5	0.52874672	3s.4p	1P*	1	1	1	3	0.44968048	1.514e-06
3s.6d	1D	1	2	0	5	0.52874672	3s.5p	1P*	1	1	1	3	0.49852264	1.143e-07
3s.6d	3D	3	2	0	15	0.53257046	3s.3p	3P*	3	1	1	9	0.19948414	9.748e-03
3s.6d	3D	3	2	0	15	0.53257046	3s.4p	3P*	3	1	1	9	0.43602120	9.720e-07
3s.6f	1F*	1	3	1	7	0.53377902	3s2	1S	1	0	0	1	0.00000000	4.341e-03
3s.6f	1F*	1	3	1	7	0.53377902	3s.4s	1S	1	0	0	1	0.39643154	9.146e-07
3s.6f	1F*	1	3	1	7	0.53377902	3s.5s	1S	1	0	0	1	0.47892739	4.735e-07
3s.6f	1F*	1	3	1	7	0.53377902	3s.4d	1D	1	2	0	5	0.48419848	1.824e-07
3s.6f	1F*	1	3	1	7	0.53377902	3s.6s	1S	1	0	0	1	0.51201246	2.581e-07
3s.6f	1F*	1	3	1	7	0.53377902	3s.5d	1D	1	2	0	5	0.51311972	1.518e-07
3s.6f	3F*	3	3	1	21	0.53377948	3s.4s	3S	3	0	0	3	0.37541836	1.265e-05
3s.6f	3F*	3	3	1	21	0.53377948	3s.3d	3D	3	2	0	15	0.43701672	1.724e-07
3s.6f	3F*	3	3	1	21	0.53377948	3s.5s	3S	3	0	0	3	0.47269724	1.260e-06
3s.6f	3F*	3	3	1	21	0.53377948	3s.6s	3S	3	0	0	3	0.50932360	1.656e-07
3s.7p	1P*	1	1	1	3	0.53382230	3s.3d	1D	1	2	0	5	0.42285584	1.176e-04
3s.7p	1P*	1	1	1	3	0.53382230	3s.4d	1D	1	2	0	5	0.48419848	1.335e-06
3s.6g	1G	1	4	0	9	0.53410086	3s.3p	3P*	3	1	1	9	0.19948414	1.048e-07
