Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	source
3s.3p	3P*	3	1	1	3	0.19929833	3s.3p	3P*	3	1	1	1	0.19911554	1.450e-07	nist
3s.3p	3P*	3	1	1	5	0.19966935	3s.3p	3P*	3	1	1	1	0.19911554	7.269e-13	auto
3s.3p	3P*	3	1	1	5	0.19966935	3s.3p	3P*	3	1	1	3	0.19929833	9.100e-07	nist
3s.3p	1P*	1	1	1	3	0.31941062	3s.3p	3P*	3	1	1	1	0.19911554	7.266e-05	auto
3s.3p	1P*	1	1	1	3	0.31941062	3s.3p	3P*	3	1	1	3	0.19929833	2.004e-04	auto
3s.3p	1P*	1	1	1	3	0.31941062	3s.3p	3P*	3	1	1	5	0.19966935	1.104e-04	auto
3s.4s	3S	3	0	0	3	0.37541836	3s2	1S	1	0	0	1	0.00000000	4.459e-15	auto
3s.4s	1S	1	0	0	1	0.39643154	3s.4s	3S	3	0	0	3	0.37541836	9.649e-20	auto
3s.3d	1D	1	2	0	5	0.42285584	3s2	1S	1	0	0	1	0.00000000	2.368e+03	auto
3s.3d	1D	1	2	0	5	0.42285584	3s.4s	1S	1	0	0	1	0.39643154	2.912e-02	auto
3s.4p	3P*	3	1	1	1	0.43596035	3s.3p	3P*	3	1	1	3	0.19929833	2.505e-06	auto
3s.4p	3P*	3	1	1	1	0.43596035	3s.3p	3P*	3	1	1	5	0.19966935	2.807e+01	auto
3s.4p	3P*	3	1	1	1	0.43596035	3s.3p	1P*	1	1	1	3	0.31941062	1.140e-05	auto
3s.4p	3P*	3	1	1	3	0.43599038	3s.3p	3P*	3	1	1	1	0.19911554	8.723e-07	auto
3s.4p	3P*	3	1	1	3	0.43599038	3s.3p	3P*	3	1	1	3	0.19929833	1.830e+01	nist
3s.4p	3P*	3	1	1	3	0.43599038	3s.3p	3P*	3	1	1	5	0.19966935	5.480e+01	nist
3s.4p	3P*	3	1	1	3	0.43599038	3s.3p	1P*	1	1	1	3	0.31941062	9.179e-06	auto
3s.4p	3P*	3	1	1	3	0.43599038	3s.4p	3P*	3	1	1	1	0.43596035	1.088e-09	auto
3s.4p	3P*	3	1	1	5	0.43605187	3s.3p	3P*	3	1	1	1	0.19911554	5.709e+00	auto
3s.4p	3P*	3	1	1	5	0.43605187	3s.3p	3P*	3	1	1	3	0.19929833	1.279e+01	auto
3s.4p	3P*	3	1	1	5	0.43605187	3s.3p	3P*	3	1	1	5	0.19966935	2.550e+01	nist
3s.4p	3P*	3	1	1	5	0.43605187	3s.3p	1P*	1	1	1	3	0.31941062	1.275e-05	auto
3s.4p	3P*	3	1	1	5	0.43605187	3s.4p	3P*	3	1	1	1	0.43596035	5.180e-14	auto
3s.3d	3D	3	2	0	3	0.43701687	3s2	1S	1	0	0	1	0.00000000	1.047e-08	auto
3s.3d	3D	3	2	0	3	0.43701687	3s.4s	3S	3	0	0	3	0.37541836	2.621e+00	auto
3s.3d	3D	3	2	0	3	0.43701687	3s.4s	1S	1	0	0	1	0.39643154	7.966e-15	auto
3s.3d	3D	3	2	0	5	0.43701659	3s2	1S	1	0	0	1	0.00000000	8.819e-06	auto
3s.3d	3D	3	2	0	5	0.43701659	3s.4s	3S	3	0	0	3	0.37541836	2.621e+00	auto
3s.3d	3D	3	2	0	5	0.43701659	3s.4s	1S	1	0	0	1	0.39643154	1.352e-09	auto
3s.3d	3D	3	2	0	7	0.43701675	3s.4s	3S	3	0	0	3	0.37541836	2.621e+00	auto
3s.3d	3D	3	2	0	7	0.43701675	3s.3d	3D	3	2	0	3	0.43701687	4.168e-24	auto
3s.4p	1P*	1	1	1	3	0.44968048	3s.3p	3P*	3	1	1	1	0.19911554	1.255e-05	auto
3s.4p	1P*	1	1	1	3	0.44968048	3s.3p	3P*	3	1	1	3	0.19929833	1.881e-04	auto
3s.4p	1P*	1	1	1	3	0.44968048	3s.3p	3P*	3	1	1	5	0.19966935	7.273e-05	auto
3s.4p	1P*	1	1	1	3	0.44968048	3s.3p	1P*	1	1	1	3	0.31941062	1.213e+01	auto
3s.4p	1P*	1	1	1	3	0.44968048	3s.4p	3P*	3	1	1	1	0.43596035	4.788e-07	auto
3s.4p	1P*	1	1	1	3	0.44968048	3s.4p	3P*	3	1	1	3	0.43599038	6.117e-07	auto
3s.4p	1P*	1	1	1	3	0.44968048	3s.4p	3P*	3	1	1	5	0.43605187	6.289e-07	auto
3s.5s	3S	3	0	0	3	0.47269724	3s2	1S	1	0	0	1	0.00000000	4.063e-16	auto
3s.5s	3S	3	0	0	3	0.47269724	3s.4s	1S	1	0	0	1	0.39643154	3.919e-20	auto
3s.5s	3S	3	0	0	3	0.47269724	3s.3d	3D	3	2	0	3	0.43701687	1.831e-01	auto
3s.5s	3S	3	0	0	3	0.47269724	3s.3d	3D	3	2	0	5	0.43701659	3.052e-01	auto
3s.5s	3S	3	0	0	3	0.47269724	3s.3d	3D	3	2	0	7	0.43701675	4.272e-01	auto
3s.5s	1S	1	0	0	1	0.47892739	3s.4s	3S	3	0	0	3	0.37541836	2.772e-16	auto
3s.5s	1S	1	0	0	1	0.47892739	3s.3d	1D	1	2	0	5	0.42285584	1.889e+00	auto
3s.5s	1S	1	0	0	1	0.47892739	3s.3d	3D	3	2	0	3	0.43701687	1.502e-13	auto
3s.5s	1S	1	0	0	1	0.47892739	3s.3d	3D	3	2	0	5	0.43701659	2.521e-09	auto
3s.5s	1S	1	0	0	1	0.47892739	3s.5s	3S	3	0	0	3	0.47269724	3.919e-21	auto
3s.4d	1D	1	2	0	5	0.48419848	3s2	1S	1	0	0	1	0.00000000	9.065e+02	auto
3s.4d	1D	1	2	0	5	0.48419848	3s.4s	1S	1	0	0	1	0.39643154	2.604e+01	auto
3s.4d	1D	1	2	0	5	0.48419848	3s.3d	1D	1	2	0	5	0.42285584	1.398e-01	auto
3s.4d	1D	1	2	0	5	0.48419848	3s.5s	1S	1	0	0	1	0.47892739	1.912e-04	auto
3s.4d	3D	3	2	0	3	0.49383689	3s2	1S	1	0	0	1	0.00000000	4.725e-09	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.4s	3S	3	0	0	3	0.37541836	6.559e+00	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.4s	1S	1	0	0	1	0.39643154	2.171e-12	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.3d	3D	3	2	0	3	0.43701687	5.393e-01	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.3d	3D	3	2	0	5	0.43701659	8.988e-01	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.3d	3D	3	2	0	7	0.43701675	1.027e-01	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.5s	3S	3	0	0	3	0.47269724	2.066e-01	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.5s	1S	1	0	0	1	0.47892739	3.159e-19	auto
3s.4d	3D	3	2	0	5	0.49383652	3s2	1S	1	0	0	1	0.00000000	3.213e-07	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.4s	3S	3	0	0	3	0.37541836	6.559e+00	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.4s	1S	1	0	0	1	0.39643154	1.898e-08	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.3d	3D	3	2	0	3	0.43701687	5.393e-01	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.3d	3D	3	2	0	5	0.43701659	3.852e-01	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.3d	3D	3	2	0	7	0.43701675	6.163e-01	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.5s	3S	3	0	0	3	0.47269724	2.067e-01	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.5s	1S	1	0	0	1	0.47892739	1.359e-11	auto
3s.4d	3D	3	2	0	7	0.49383617	3s.4s	3S	3	0	0	3	0.37541836	6.559e+00	auto
3s.4d	3D	3	2	0	7	0.49383617	3s.3d	3D	3	2	0	3	0.43701687	4.403e-02	auto
3s.4d	3D	3	2	0	7	0.49383617	3s.3d	3D	3	2	0	5	0.43701659	4.402e-01	auto
3s.4d	3D	3	2	0	7	0.49383617	3s.3d	3D	3	2	0	7	0.43701675	1.056e+00	auto
3s.4d	3D	3	2	0	7	0.49383617	3s.5s	3S	3	0	0	3	0.47269724	2.067e-01	auto
3s.4d	3D	3	2	0	7	0.49383617	3s.4d	3D	3	2	0	3	0.49383689	1.400e-26	auto
3s.5p	3P*	3	1	1	1	0.49435152	3s.3p	3P*	3	1	1	3	0.19929833	7.075e-07	auto
3s.5p	3P*	3	1	1	1	0.49435152	3s.3p	3P*	3	1	1	5	0.19966935	9.062e+00	auto
3s.5p	3P*	3	1	1	1	0.49435152	3s.3p	1P*	1	1	1	3	0.31941062	1.174e-06	auto
3s.5p	3P*	3	1	1	1	0.49435152	3s.4p	3P*	3	1	1	3	0.43599038	7.959e-09	auto
3s.5p	3P*	3	1	1	1	0.49435152	3s.4p	3P*	3	1	1	5	0.43605187	3.528e+00	auto
3s.5p	3P*	3	1	1	1	0.49435152	3s.4p	1P*	1	1	1	3	0.44968048	4.516e-07	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.3p	3P*	3	1	1	1	0.19911554	2.494e-07	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.3p	3P*	3	1	1	3	0.19929833	2.262e+00	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.3p	3P*	3	1	1	5	0.19966935	6.800e+00	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.3p	1P*	1	1	1	3	0.31941062	9.193e-05	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.4p	3P*	3	1	1	1	0.43596035	2.913e-09	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.4p	3P*	3	1	1	3	0.43599038	8.891e-01	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.4p	3P*	3	1	1	5	0.43605187	2.650e+00	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.4p	1P*	1	1	1	3	0.44968048	3.059e-05	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.5p	3P*	3	1	1	1	0.49435152	7.541e-11	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.3p	3P*	3	1	1	1	0.19911554	1.810e+00	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.3p	3P*	3	1	1	3	0.19929833	4.076e+00	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.3p	3P*	3	1	1	5	0.19966935	3.177e+00	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.3p	1P*	1	1	1	3	0.31941062	2.924e-07	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.4p	3P*	3	1	1	1	0.43596035	7.156e-01	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.4p	3P*	3	1	1	3	0.43599038	1.605e+00	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.4p	3P*	3	1	1	5	0.43605187	1.240e+00	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.4p	1P*	1	1	1	3	0.44968048	7.983e-07	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.5p	3P*	3	1	1	1	0.49435152	7.236e-15	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.3p	3P*	3	1	1	3	0.19929833	1.425e+00	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.3p	3P*	3	1	1	5	0.19966935	7.563e-01	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.3p	1P*	1	1	1	3	0.31941062	1.729e+02	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.4p	3P*	3	1	1	3	0.43599038	1.232e-01	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.4p	3P*	3	1	1	5	0.43605187	6.623e-02	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.4p	1P*	1	1	1	3	0.44968048	8.228e+00	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.5p	3P*	3	1	1	3	0.49436316	4.820e-07	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.5p	3P*	3	1	1	5	0.49438722	2.486e-07	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.3p	3P*	3	1	1	1	0.19911554	7.374e+01	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.3p	3P*	3	1	1	3	0.19929833	7.355e+01	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.3p	3P*	3	1	1	5	0.19966935	1.045e+01	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.3p	1P*	1	1	1	3	0.31941062	2.332e-05	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.4p	3P*	3	1	1	1	0.43596035	6.468e+00	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.4p	3P*	3	1	1	3	0.43599038	6.449e+00	auto
