T	K	Conf	Term	2S+1	L	P	AS(Ryd)	NIST(Ryd)	Energy
169	1	3s2	1S	1	0	0	0.00000000	0.00000000	0.00000000
108	2	3s.3p	3P*	3	1	1	0.19948400	0.19948414	0.19948414
130	3	3s.3p	1P*	1	1	1	0.31941100	0.31941062	0.31941062
151	4	3s.4s	3S	3	0	0	0.37541800	0.37541836	0.37541836
170	5	3s.4s	1S	1	0	0	0.39643200	0.39643154	0.39643154
81	6	3s.3d	1D	1	2	0	0.42285600	0.42285584	0.42285584
109	7	3s.4p	3P*	3	1	1	0.43602100	0.43602120	0.43602120
59	8	3s.3d	3D	3	2	0	0.43701700	0.43701672	0.43701672
131	9	3s.4p	1P*	1	1	1	0.44968000	0.44968048	0.44968048
152	10	3s.5s	3S	3	0	0	0.47269700	0.47269724	0.47269724
171	11	3s.5s	1S	1	0	0	0.47892700	0.47892739	0.47892739
82	12	3s.4d	1D	1	2	0	0.48419800	0.48419848	0.48419848
60	13	3s.4d	3D	3	2	0	0.49383600	0.49383643	0.49383643
110	14	3s.5p	3P*	3	1	1	0.49437500	0.49437523	0.49437523
45	15	3s.4f	1F*	1	3	1	0.49824800	0.49824836	0.49824836
30	16	3s.4f	3F*	3	3	1	0.49825100	0.49825087	0.49825087
132	17	3s.5p	1P*	1	1	1	0.49852300	0.49852264	0.49852264
153	18	3s.6s	3S	3	0	0	0.50932400	0.50932360	0.50932360
173	19	3s.6s	1S	1	0	0	0.51201200	0.51201246	0.51201246
83	20	3s.5d	1D	1	2	0	0.51312000	0.51311972	0.51311972
61	21	3s.5d	3D	3	2	0	0.51913300	0.51913279	0.51913279
111	22	3s.6p	3P*	3	1	1	0.51959000	0.51958967	0.51958967
46	23	3s.5f	1F*	1	3	1	0.52128300	0.52128269	0.52128269
31	24	3s.5f	3F*	3	3	1	0.52128400	0.52128370	0.52128370
133	25	3s.6p	1P*	1	1	1	0.52138100	0.52138137	0.52138137
21	26	3s.5g	1G	1	4	0	0.52181700	0.52181666	0.52181666
15	27	3s.5g	3G	3	4	0	0.52181700	0.52181666	0.52181666
105	28	3p2	3P	3	1	0	0.52720100	0.52720103	0.52720103
154	29	3s.7s	3S	3	0	0	0.52721600	0.52721550	0.52721550
174	30	3s.7s	1S	1	0	0	0.52862100	0.52862060	0.52862060
85	31	3s.6d	1D	1	2	0	0.52874700	0.52874672	0.52874672
62	32	3s.6d	3D	3	2	0	0.53257000	0.53257046	0.53257046
112	33	3s.7p	3P*	3	1	1	0.53288500	0.53288523	0.53288523
47	34	3s.6f	1F*	1	3	1	0.53377900	0.53377902	0.53377902
32	35	3s.6f	3F*	3	3	1	0.53377900	0.53377948	0.53377948
134	36	3s.7p	1P*	1	1	1	0.53382200	0.53382230	0.53382230
22	37	3s.6g	1G	1	4	0	0.53410100	0.53410086	0.53410086
16	38	3s.6g	3G	3	4	0	0.53410100	0.53410086	0.53410086
11	39	3s.6h	1H*	1	5	1	0.53417500	0.53417510	0.53417510
7	40	3s.6h	3H*	3	5	1	0.53417500	0.53417510	0.53417510
155	41	3s.8s	3S	3	0	0	0.53730800	0.53730801	0.53730801
86	42	3s.7d	1D	1	2	0	0.53802100	0.53802135	0.53802135
175	43	3s.8s	1S	1	0	0	0.53813500	0.53813530	0.53813530
63	44	3s.7d	3D	3	2	0	0.54055200	0.54055244	0.54055244
113	45	3s.8p	3P*	3	1	1	0.54076900	0.54076870	0.54076870
48	46	3s.7f	1F*	1	3	1	0.54129900	0.54129958	0.54129958
33	47	3s.7f	3F*	3	3	1	0.54130000	0.54129958	0.54129958
135	48	3s.8p	1P*	1	1	1	0.54132200	0.54132160	0.54132160
17	49	3s.7g	3G	3	4	0	0.54150700	0.54150711	0.54150711
23	50	3s.7g	1G	1	4	0	0.54150700	0.54150711	0.54150711
12	51	3s.7h	1H*	1	5	1	0.54155600	0.54155556	0.54155556
8	52	3s.7h	3H*	3	5	1	0.54155600	0.54155556	0.54155556
5	53	3s.7i	1I	1	6	0	0.54157100	0.54157072	0.54157072
3	54	3s.7i	3I	3	6	0	0.54157100	0.54157072	0.54157072
156	55	3s.9s	3S	3	0	0	0.54356300	0.54356300	0.54356300
87	56	3s.8d	1D	1	2	0	0.54393500	0.54393522	0.54393522
176	57	3s.9s	1S	1	0	0	0.54409100	0.54409120	0.54409120
64	58	3s.8d	3D	3	2	0	0.54567700	0.54567744	0.54567744
114	59	3s.9p	3P*	3	1	1	0.54582900	0.54582950	0.54582950
49	60	3s.8f	1F*	1	3	1	0.54617100	0.54617128	0.54617128
34	61	3s.8f	3F*	3	3	1	0.54617100	0.54617128	0.54617128
136	62	3s.9p	1P*	1	1	1	0.54618300	0.54618280	0.54618280
18	63	3s.8g	3G	3	4	0	0.54631200	0.54631250	0.54631250
24	64	3s.8g	1G	1	4	0	0.54631300	0.54631250	0.54631250
13	65	3s.8h	1H*	1	5	1	0.54634600	0.54634581	0.54634581
9	66	3s.8h	3H*	3	5	1	0.54634600	0.54634581	0.54634581
157	67	3s.10s	3S	3	0	0	0.54770800	0.54770790	0.54770790
88	68	3s.9d	1D	1	2	0	0.54792000	0.54791972	0.54791972
177	69	3s.10s	1S	1	0	0	0.54806500	0.54806540	0.54806540
65	70	3s.9d	3D	3	2	0	0.54916200	0.54916218	0.54916218
115	71	3s.10p	3P*	3	1	1	0.54922800	-1.00000000	0.54922800
50	72	3s.9f	1F*	1	3	1	0.54950600	0.54950572	0.54950572
35	73	3s.9f	3F*	3	3	1	0.54950600	0.54950572	0.54950572
137	74	3s.10p	1P*	1	1	1	0.54951500	0.54951500	0.54951500
19	75	3s.9g	3G	3	4	0	0.54960600	0.54960627	0.54960627
25	76	3s.9g	1G	1	4	0	0.54960600	0.54960627	0.54960627
14	77	3s.9h	1H*	1	5	1	0.54963000	0.54962983	0.54962983
10	78	3s.9h	3H*	3	5	1	0.54963000	0.54962983	0.54962983
6	79	3s.9i	1I	1	6	0	0.54963700	0.54963730	0.54963730
4	80	3s.9i	3I	3	6	0	0.54963700	0.54963730	0.54963730
2	81	3s.9k	1K*	1	7	1	0.54964000	0.54964021	0.54964021
1	82	3s.9k	3K*	3	7	1	0.54964000	0.54964021	0.54964021
158	83	3s.11s	3S	3	0	0	0.55059500	0.55059550	0.55059550
89	84	3s.10d	1D	1	2	0	0.55072500	0.55072514	0.55072514
178	85	3s.11s	1S	1	0	0	0.55111500	-1.00000000	0.55111500
66	86	3s.10d	3D	3	2	0	0.55163900	0.55163860	0.55163860
116	87	3s.11p	3P*	3	1	1	0.55164600	-1.00000000	0.55164600
51	88	3s.10f	1F*	1	3	1	0.55188700	0.55188736	0.55188736
36	89	3s.10f	3F*	3	3	1	0.55188700	0.55188736	0.55188736
138	90	3s.11p	1P*	1	1	1	0.55189400	0.55189390	0.55189390
159	91	3s.12s	3S	3	0	0	0.55268800	0.55268770	0.55268770
90	92	3s.11d	1D	1	2	0	0.55277200	0.55277180	0.55277180
179	93	3s.12s	1S	1	0	0	0.55304500	-1.00000000	0.55304500
117	94	3s.12p	3P*	3	1	1	0.55342800	-1.00000000	0.55342800
67	95	3s.11d	3D	3	2	0	0.55346100	0.55346150	0.55346150
52	96	3s.11f	1F*	1	3	1	0.55364700	0.55364726	0.55364726
37	97	3s.11f	3F*	3	3	1	0.55364700	0.55364726	0.55364726
139	98	3s.12p	1P*	1	1	1	0.55365100	0.55365060	0.55365060
160	99	3s.13s	3S	3	0	0	0.55425200	0.55425240	0.55425240
91	100	3s.12d	1D	1	2	0	0.55430900	0.55430930	0.55430930
180	101	3s.13s	1S	1	0	0	0.55449800	-1.00000000	0.55449800
118	102	3s.13p	3P*	3	1	1	0.55478100	-1.00000000	0.55478100
68	103	3s.12d	3D	3	2	0	0.55484200	0.55484160	0.55484160
53	104	3s.12f	1F*	1	3	1	0.55498400	0.55498440	0.55498440
38	105	3s.12f	3F*	3	3	1	0.55498400	0.55498440	0.55498440
140	106	3s.13p	1P*	1	1	1	0.55498800	0.55498830	0.55498830
161	107	3s.14s	3S	3	0	0	0.55545300	0.55545280	0.55545280
92	108	3s.13d	1D	1	2	0	0.55549300	0.55549300	0.55549300
181	109	3s.14s	1S	1	0	0	0.55561900	-1.00000000	0.55561900
119	110	3s.14p	3P*	3	1	1	0.55583100	-1.00000000	0.55583100
69	111	3s.13d	3D	3	2	0	0.55591200	0.55591240	0.55591240
54	112	3s.13f	1F*	1	3	1	0.55602400	0.55602420	0.55602420
39	113	3s.13f	3F*	3	3	1	0.55602400	0.55602420	0.55602420
141	114	3s.14p	1P*	1	1	1	0.55602700	0.55602720	0.55602720
162	115	3s.15s	3S	3	0	0	0.55626800	-1.00000000	0.55626800
93	116	3s.14d	1D	1	2	0	0.55642400	0.55642400	0.55642400
182	117	3s.15s	1S	1	0	0	0.55650300	-1.00000000	0.55650300
120	118	3s.15p	3P*	3	1	1	0.55666200	-1.00000000	0.55666200
70	119	3s.14d	3D	3	2	0	0.55675900	0.55675930	0.55675930
55	120	3s.14f	1F*	1	3	1	0.55684800	0.55684840	0.55684840
40	121	3s.14f	3F*	3	3	1	0.55684800	0.55684840	0.55684840
142	122	3s.15p	1P*	1	1	1	0.55685100	0.55685110	0.55685110
163	123	3s.16s	3S	3	0	0	0.55701300	-1.00000000	0.55701300
94	124	3s.15d	1D	1	2	0	0.55716800	0.55716800	0.55716800
183	125	3s.16s	1S	1	0	0	0.55721200	-1.00000000	0.55721200
71	126	3s.15d	3D	3	2	0	0.55732000	-1.00000000	0.55732000
121	127	3s.16p	3P*	3	1	1	0.55733200	-1.00000000	0.55733200
