AtomicNumber	IonCharge	ModelIndex	LineNumber	type	LowerLevel	UpperLevel	Wavelength	gf	A	RadDamping	StarkCoefficient	VanderWaalsCoefficient	EWavenLower	EWavenUpper	gLower	gUpper	2Jlower	2JUpper	broad	prd	nlteparm	commentid
12	0	1	113	1	26	39	73736.416	39.77425	5.347882E+07	513795	8.7255E-05	7.95775E-09	57262.76	58618.942	27	33	26	32	0	0	1	0
12	0	1	116	1	26	40	73736.416	5.97324	638727.1	513795	8.7255E-05	7.95775E-09	57262.76	58618.942	27	11	26	10	0	0	1	0
12	0	1	114	1	27	39	73736.416	5.972245	20249.06	513795	8.7255E-05	7.95775E-09	57262.76	58618.942	9	33	8	32	0	0	1	0
12	0	1	115	1	27	40	73736.417	9.2897	1036199	513795	8.7255E-05	7.95775E-09	57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	118	1	37	51	122240.72	35.41038	479052.6	302545	0.000257508	1.00182E-08	58610.795	59428.853	27	33	26	32	0	0	1	0
12	0	1	119	1	37	52	122240.72	5.32315	216044.2	302545	0.000257508	1.00182E-08	58610.795	59428.853	27	11	26	10	0	0	1	0
12	0	1	120	1	38	52	122240.72	8.2604	335254.8	302545	0.000257508	1.00182E-08	58610.795	59428.853	9	11	8	10	0	0	1	0
12	0	1	117	1	38	51	122240.72	5.322741	72009.19	302545	0.000257508	1.00182E-08	58610.795	59428.853	9	33	8	32	0	0	1	0
12	0	1	122	1	39	53	123217.2	66.20802	791909.9	195340	0.00035546	1.00182E-08	58618.942	59430.517	33	39	32	38	0	0	1	0
12	0	1	124	1	39	54	123217.2	0.280071	9466.305	195340	0.00035546	1.00182E-08	58618.942	59430.517	33	13	32	12	0	0	1	0
12	0	1	123	1	40	54	123217.2	21.878	739468.9	195340	0.00035546	1.00182E-08	58618.942	59430.517	11	13	10	12	0	0	1	0
12	0	1	121	1	40	53	123217.2	0.2797102	3087.096	195340	0.00035546	1.00182E-08	58618.942	59430.517	11	39	10	38	0	0	1	0
