AtomicNumber	IonCharge	ModelIndex	LineNumber	type	LowerLevel	LowerSublevel	UpperLevel	UpperSublevel	Wavelength	gf	A	RadDamping	StarkCoefficient	VanderWaalsCoefficient	EWavenLower	EWavenUpper	gLower	gUpper	2Jlower	2JUpper	broad	prd	nlteparm	commentid
12	0	1	670	1	26	2	39	1	73736.417	0.3077	41940.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	9	9	8	8	0	0	1	0
12	0	1	671	1	26	3	39	1	73736.417	0.006162	839.9	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	11	9	10	8	0	0	1	0
12	0	1	672	1	27	1	39	2	73736.417	0.2866	31970.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	673	1	26	1	39	1	73736.417	11.86	1617000.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	7	9	6	8	0	0	1	0
12	0	1	674	1	27	1	40	1	73736.417	14.66	1636000.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	675	1	26	3	39	2	73736.417	0.3972	44300.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	11	11	10	10	0	0	1	0
12	0	1	676	1	26	3	40	1	73736.417	0.2128	23730.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	11	11	10	10	0	0	1	0
12	0	1	677	1	26	2	39	2	73736.417	14.57	1625000.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	678	1	27	1	39	1	73736.417	0.3024	41220.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	9	9	8	8	0	0	1	0
12	0	1	679	1	26	2	40	1	73736.417	0.3771	42060.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	680	1	26	3	39	3	73736.417	18.02	1701000.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	11	13	10	12	0	0	1	0
12	0	1	681	1	38	1	51	1	122240.72	0.2701	13400.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	9	9	8	8	0	0	1	0
12	0	1	682	1	37	1	51	3	122240.72	16.04	550800.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	11	13	10	12	0	0	1	0
12	0	1	683	1	37	2	51	2	122240.72	13.19	535400.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	9	11	8	10	0	0	1	0
12	0	1	684	1	37	2	52	1	122240.72	0.1138	4616.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	9	11	8	10	0	0	1	0
12	0	1	685	1	37	1	52	1	122240.72	0.2258	9162.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	11	11	10	10	0	0	1	0
12	0	1	686	1	37	1	51	2	122240.72	0.3172	12870.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	11	11	10	10	0	0	1	0
12	0	1	687	1	38	1	52	1	122240.72	13.24	537400.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	9	11	8	10	0	0	1	0
12	0	1	688	1	38	1	51	2	122240.72	0.0683	2771.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	9	11	8	10	0	0	1	0
12	0	1	689	1	37	2	51	1	122240.72	0.2728	13530.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	9	9	8	8	0	0	1	0
12	0	1	690	1	37	1	51	1	122240.72	0.005485	272.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	11	9	10	8	0	0	1	0
12	0	1	691	1	37	3	51	1	122240.72	10.56	523600.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	7	9	6	8	0	0	1	0
12	0	1	692	1	40	1	53	2	123217.2	0.9408	31790.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
12	0	1	693	1	39	3	53	2	123217.2	0.5149	17400.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	13	13	12	12	0	0	1	0
12	0	1	694	1	39	3	53	1	123217.2	0.004305	172.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	13	11	12	10	0	0	1	0
12	0	1	695	1	40	1	54	1	123217.2	21.01	710000.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
12	0	1	696	1	39	2	53	1	123217.2	0.4009	16010.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	11	11	10	10	0	0	1	0
12	0	1	697	1	40	1	53	1	123217.2	0.2148	8578.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	11	11	10	10	0	0	1	0
12	0	1	698	1	39	3	53	3	123217.2	25.57	749000.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	13	15	12	14	0	0	1	0
12	0	1	699	1	39	2	54	1	123217.2	1.055	35650.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
12	0	1	700	1	39	3	54	1	123217.2	0.1008	3407.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	13	13	12	12	0	0	1	0
12	0	1	701	1	39	1	53	1	123217.2	18.13	724300.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	9	11	8	10	0	0	1	0
12	0	1	702	1	39	2	53	2	123217.2	20.71	699900.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
